period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,02:00,Foul: Personal,Darren Collison,Kyrie Irving,CNC,Collison (IND) maintains a legal guarding position and makes incidental contact with Irving (BOS) at the end of his drive.,48.97959% Complete    02:16.2       To       01:51.5,gameId=0041800132,Pacers(91) @ Celtics(99),"April 17, 2019",2021-03-29T00:01:33Z
Q4,01:56.4,Foul: Personal,Myles Turner,Jaylen Brown,CNC,Turner (IND) makes marginal contact to the body of Brown (BOS) during the drive that does not affect SQBR.,48.97959% Complete    02:16.2       To       01:51.5,gameId=0041800132,Pacers(91) @ Celtics(99),"April 17, 2019",2021-03-29T00:01:33Z
Q4,01:52.7,Foul: Shooting,Myles Turner,Jaylen Brown,CNC,Turner (IND) legally contests Brown's (BOS) shot attempt.,48.97959% Complete    02:16.2       To       01:51.5,gameId=0041800132,Pacers(91) @ Celtics(99),"April 17, 2019",2021-03-29T00:01:33Z
Q4,01:49.3,Foul: Personal,Jayson Tatum,Bojan Bogdanovic,CC,RAR shows Tatum (BOS) makes contact to Bogdanovic's (IND) arm prior to the ball being dislodged by Brown (BOS).,40.8163261% Complete    01:51.5       To       01:31.4,gameId=0041800132,Pacers(91) @ Celtics(99),"April 17, 2019",2021-03-29T00:01:33Z
Q4,01:39.1,Foul: Offensive,Myles Turner,Gordon Hayward,CNC,Turner (IND) is already in Hayward's (BOS) path when contact occurs and he does not deliver contact.,40.8163261% Complete    01:51.5       To       01:31.4,gameId=0041800132,Pacers(91) @ Celtics(99),"April 17, 2019",2021-03-29T00:01:33Z
Q4,01:32.8,Foul: Shooting,Jayson Tatum,Bojan Bogdanovic,CNC,Tatum (BOS) makes incidental contact with Bogdanovic's (IND) arm during his follow-through after he has released his shot near the rim.,40.8163261% Complete    01:51.5       To       01:31.4,gameId=0041800132,Pacers(91) @ Celtics(99),"April 17, 2019",2021-03-29T00:01:33Z
Q4,01:32.8,Foul: Shooting,Gordon Hayward,Bojan Bogdanovic,CNC,Hayward (BOS) maintains legal guarding position as he defends Bogdanovic's (IND) shot near the rim.,40.8163261% Complete    01:51.5       To       01:31.4,gameId=0041800132,Pacers(91) @ Celtics(99),"April 17, 2019",2021-03-29T00:01:33Z
Q4,01:31.4,Foul: Loose Ball,Al Horford,Thaddeus Young,INC,RAR shows Horford (BOS) extends his arm into Young (IND) and dislodges him from his rebounding position.,40.8163261% Complete    01:51.5       To       01:31.4,gameId=0041800132,Pacers(91) @ Celtics(99),"April 17, 2019",2021-03-29T00:01:33Z
Q4,01:23.2,Foul: Shooting,Darren Collison,Jayson Tatum,CNC,"Collison (IND) makes slight contact to Tatum's (BOS) head/face after he has released his jump shot attempt, and the contact does not affect his ability to follow through naturally.   Contact to an opponent's head/face can be deemed marginal when the result of a natural basketball move, provided the contact is not disproportionate or uncontrolled.",20.4081631% Complete    01:31.4       To       01:21.1,gameId=0041800132,Pacers(91) @ Celtics(99),"April 17, 2019",2021-03-29T00:01:33Z
Q4,01:08.9,Foul: Offensive,Thaddeus Young,Jayson Tatum,CNC,Young (IND) is already in Tatum's (BOS) path when contact occurs and he does not deliver contact.,42.8571434% Complete    01:21.1       To       00:59.2,gameId=0041800132,Pacers(91) @ Celtics(99),"April 17, 2019",2021-03-29T00:01:33Z
