szn,szn_type,official,ref_points,games,ref_rating
2021,playoffs,Zach Zarba,65,13,5
2021,pre-season,Aaron Smith,7,3,2.3333333333333335
2021,pre-season,Andy Nagy,2,2,1
2021,pre-season,Ashley Moyer-Gleich,2,2,1
2021,pre-season,Ben Taylor,20,4,5
2021,pre-season,Bill Kennedy,10,2,5
2021,pre-season,Bill Spooner,8,4,2
2021,pre-season,Brandon Adair,4,2,2
2021,pre-season,Brandon Schwab,2,2,1
2021,pre-season,Brent Barnaky,6,2,3
2021,pre-season,Brian Forte,10,2,5
2021,pre-season,Courtney Kirkland,15,3,5
2021,pre-season,Curtis Blair,10,2,5
2021,pre-season,Danielle Scott,3,3,1
2021,pre-season,Dannica Mosher,2,2,1
2021,pre-season,David Guthrie,10,2,5
2021,pre-season,Dedric Taylor,6,2,3
2021,pre-season,Derek Richardson,6,2,3
2021,pre-season,Derrick Collins,10,2,5
2021,pre-season,Eric Dalen,6,2,3
2021,pre-season,Eric Lewis,10,2,5
2021,pre-season,Evan Scott,2,2,1
2021,pre-season,Gediminas Petraitis,15,3,5
2021,pre-season,Haywoode Workman,3,3,1
2021,pre-season,Jacyn Goble,6,2,3
2021,pre-season,James Williams,10,2,5
2021,pre-season,Jason Goldenberg,9,3,3
2021,pre-season,JB DeRosa,6,2,3
2021,pre-season,Jenna Schroeder,3,3,1
2021,pre-season,John Butler,2,2,1
2021,pre-season,John Conley,2,2,1
2021,pre-season,Jonathan Sterling,4,2,2
2021,pre-season,Josh Tiven,15,3,5
2021,pre-season,JT Orr,6,2,3
2021,pre-season,Justin Van Duyne,8,4,2
2021,pre-season,Karl Lane,6,2,3
2021,pre-season,Ken Mauer,10,2,5
2021,pre-season,Kevin Cutler,13,3,4.333333333333333
2021,pre-season,Kevin Scott,15,3,5
2021,pre-season,Lauren Holtkamp,6,2,3
2021,pre-season,Leon Wood,9,3,3
2021,pre-season,Leroy Richardson,4,2,2
2021,pre-season,Marat Kogut,9,3,3
2021,pre-season,Mark Ayotte,10,2,5
2021,pre-season,Matt Boland,6,2,3
2021,pre-season,Matt Kallio,2,2,1
2021,pre-season,Matt Myers,3,3,1
2021,pre-season,Michael Smith,10,2,5
2021,pre-season,Mitchell Ervin,6,2,3
2021,pre-season,Nate Green,2,2,1
2021,pre-season,Nick Buchert,9,3,3
2021,pre-season,Phenizee Ransom,2,2,1
2021,pre-season,Ray Acosta,3,1,3
2021,pre-season,Robert Hussey,3,3,1
2021,pre-season,Rodney Mott,10,2,5
2021,pre-season,Scott Twardoski,6,2,3
2021,pre-season,Scott Wall,6,2,3
2021,pre-season,Sean Wright,15,3,5
2021,pre-season,Simone Jelks,2,2,1
2021,pre-season,Suyash Mehta,3,3,1
2021,pre-season,Tony Brothers,10,2,5
2021,pre-season,Tony Brown,10,2,5
2021,pre-season,Tyler Ford,10,2,5
2021,regular season,Aaron Smith,156,54,2.888888888888889
2021,regular season,Andy Nagy,40,40,1
2021,regular season,Ashley Moyer-Gleich,54,46,1.173913043478261
2021,regular season,Ben Taylor,202,50,4.04
2021,regular season,Bennie Adams,23,23,1
2021,regular season,Bill Kennedy,213,43,4.953488372093023
2021,regular season,Bill Spooner,9,3,3
2021,regular season,Brandon Adair,68,46,1.4782608695652173
2021,regular season,Brandon Schwab,20,20,1
2021,regular season,Brent Barnaky,129,47,2.74468085106383
2021,regular season,Brett Nansel,42,42,1
2021,regular season,Brian Forte,195,53,3.6792452830188678
2021,regular season,CJ Washington,43,39,1.1025641025641026
2021,regular season,Courtney Kirkland,230,46,5
2021,regular season,Curtis Blair,225,53,4.245283018867925
2021,regular season,Danielle Scott,26,26,1
2021,regular season,Dannica Mosher,23,23,1
2021,regular season,David Guthrie,185,37,5
2021,regular season,Dedric Taylor,160,54,2.962962962962963
