period,time,call_type,committing,disadvantaged,decision,comments,game_details,page,file,game_date,away_score,away_team,home_score,home_team,call,type,date,home,away,scrape_time,stint,game_id,home_bkref,bkref_id,nba_game_id,ref_1,ref_2,ref_3,attendance,committing_min,committing_team,committing_side,disadvantaged_min,disadvantaged_team,disadvantaged_side,type2,time_min,time_sec,time2,season,playoff,decision_2,decision_3,correct,correct_num,foul,foul_num,temp_year,temp_date
Q4,00:07:00,Foul: Personal,Allonzo Trier,D'Angelo Russell,CNC,Trier (NYK) makes marginal contact with Russell (GSW) during the inbound and doesn't affect his FOM.,Knicks(124) @ Warriors(122),NA,NA,"December 11, 2019",124,NYK,122,GSW,FOUL,PERSONAL,2019-12-11,GSW,NYK,2019-12-12T22:11:23Z,8.163265% Complete    00:12.1       To       00:07.6,gameId=0021900366,GSW,201912110GSW,0021900366,Ashley Moyer-Gleich,Scott Wall,Sean Wright,18064,NA,NYK,away,35.68333333333333,GSW,home,PERSONAL,0,7.7,0.12833333333333333,2020,FALSE,CNC,CNC,correct,1,clean,0,2015,2015-12-11
Q5,01:51:00,Foul: Personal,Draymond Green,Allonzo Trier,CNC,Green (GSW) makes clean contact with the ball during Trier's (NYK) drive.,Knicks(124) @ Warriors(122),NA,NA,"December 11, 2019",124,NYK,122,GSW,FOUL,PERSONAL,2019-12-11,GSW,NYK,2019-12-12T22:11:23Z,44.89796% Complete    02:07.6       To       01:44.9,gameId=0021900366,GSW,201912110GSW,0021900366,Ashley Moyer-Gleich,Scott Wall,Sean Wright,18064,39.48333333333333,GSW,home,NA,NYK,away,PERSONAL,1,51,1.85,2020,FALSE,CNC,CNC,correct,1,clean,0,2015,2015-12-11
Q4,01:38:00,Foul: Offensive,Stan Van Gundy,Eric Bledsoe,CNC,VanVleet (TOR) and Bledsoe (NOP) briefly engage and disengage off ball.,Raptors(116) @ Pelicans(120),NA,NA,"January 02, 2021",116,TOR,120,NOP,FOUL,OFFENSIVE,2021-01-02,NOP,TOR,2021-03-29T00:31:31Z,48.97959% Complete    01:46.8       To       01:22.1,gameId=0022000084,NOP,202101020NOP,0022000084,Rodney Mott,Leroy Richardson,Jonathan Sterling,750,NA,NA,NA,31.26666666666667,NOP,home,OFFENSIVE,1,38,1.6333333333333333,2021,FALSE,CNC,CNC,correct,1,clean,0,2016,2016-01-02
Q4,00:31:00,Foul: Loose Ball,Jalen McDaniels,Gordon Hayward,CNC,McDaniels (MIN) makes incidental contact with Hayward's (CHA) right arm as they each attempt to retrieve the rebound.,Timberwolves(114) @ Hornets(120),NA,NA,"February 12, 2021",114,MIN,120,CHA,FOUL,LOOSE BALL,2021-02-12,CHA,MIN,2021-03-29T00:26:23Z,38.77551% Complete    00:51.5       To       00:31.6,gameId=0022000395,CHO,202102120CHO,0022000395,Brandon Adair,Jenna Schroeder,Sean Wright,NA,NA,NA,NA,35.2,CHA,home,LOOSE BALL,0,31.6,0.5266666666666667,2021,FALSE,CNC,CNC,correct,1,clean,0,2016,2016-02-12
Q4,01:35:00,Foul: Away from Play,Giannis Antetokounmpo,Immanuel Quickley,CNC,"Antetokounmpo (MIL) extends his left arm outward and some contact occurs with Quickley's (NYK) head/neck area as Quickley is cutting. Contact to an opponent's head/face can be deemed marginal when the result of a natural basketball move, provided the contact is not disproportionate or uncontrolled.",Knicks(102) @ Bucks(96),NA,NA,"March 27, 2021",102,NYK,96,MIL,FOUL,AWAY FROM PLAY,2021-03-27,MIL,NYK,2021-03-29T00:21:32Z,32.65306% Complete    01:35.8       To       01:19.5,gameId=0022000695,MIL,202103270MIL,0022000695,Simone Jelks,Ed Malloy,Scott Wall,3280,NA,MIL,home,26.03333333333333,NYK,away,AWAY FROM PLAY,1,35.8,1.596666666666667,2021,FALSE,CNC,CNC,correct,1,clean,0,2016,2016-03-27
Q4,01:22:00,Turnover: Traveling,Tyler Bey,Tim Hardaway Jr.,CNC,"Bey (DET) gathers the ball on his right foot, then legally steps with his left foot, establishing his left foot as his pivot foot.",Mavericks(115) @ Pistons(105),NA,NA,"April 29, 2021",115,DAL,105,DET,TURNOVER,TRAVELING,2021-04-29,DET,DAL,2021-04-30T22:47:22Z,16.32653% Complete    01:27.2       To       01:19.0,gameId=0022000943,DET,202104290DET,0022000943,Nick Buchert,Mousa Dagher,Eric Lewis,750,NA,DAL,away,35.81666666666667,DAL,away,TRAVELING,1,22.7,1.3783333333333334,2021,FALSE,CNC,CNC,correct,1,clean,0,2016,2016-04-29
Q4,01:06:00,Foul: Personal,Devin Booker,Darius Garland,CNC,Booker (PHX) briefly grasps Garland's (CLE) arm during the screen and does not affect his FOM.,Suns(134) @ Cavaliers(118),NA,NA,"May 04, 2021",134,PHX,118,CLE,FOUL,PERSONAL,2021-05-04,CLE,PHX,2021-05-06T14:57:32Z,79.591835% Complete    01:38.9       To       00:59.0,gameId=0022000983,CLE,202105040CLE,0022000983,J.B. DeRosa,Kevin Scott,Scott Twardoski,4148,40.25,PHX,away,NA,NA,NA,PERSONAL,1,6,1.1,2021,FALSE,CNC,CNC,correct,1,clean,0,2016,2016-05-04
Q4,01:20:00,Foul: Shooting,Charlie Brown Jr.,Yogi Ferrell,CNC,Brown Jr. (OKC) legally contests Ferrell's (LAC) driving shot attempt.,Clippers(112) @ Thunder(117),NA,NA,"May 16, 2021",112,LAC,117,OKC,FOUL,SHOOTING,2021-05-16,OKC,LAC,2021-05-17T18:08:26Z,53.0612259% Complete    01:47.1       To       01:20.4,gameId=0022001074,OKC,202105160OKC,0022001074,Courtney Kirkland,C.J. Washington,Leon Wood,NA,NA,NA,NA,26.9,LAC,away,SHOOTING,1,20.7,1.345,2021,FALSE,CNC,CNC,correct,1,clean,0,2016,2016-05-16
Q4,00:56:00,Turnover: Palming,Chris Paul,Louis King,CNC,Paul (PHX) does not bring part of his hand under the ball when he brings his dribble to a pause.,Suns(109) @ Kings(104),NA,NA,"November 08, 2021",109,PHX,104,SAC,TURNOVER,PALMING,2021-11-08,SAC,PHX,2021-11-10T00:12:24Z,48.97959% Complete    01:12.5       To       00:48.4,gameId=0022100153,SAC,202111080SAC,0022100153,Jacyn Goble,Evan Scott,Josh Tiven,13566,25.83333333333333,PHX,away,NA,NA,NA,PALMING,0,56.9,0.9483333333333334,2022,FALSE,CNC,CNC,correct,1,clean,0,2015,2015-11-08
Q4,01:49:00,Foul: Personal,Seth Curry,Jamie Young,CNC,Curry (PHI) moves laterally defending Young's (ATL) drive and marginal contact occurs.,76ers(98) @ Hawks(96),NA,NA,"December 03, 2021",98,PHI,96,ATL,FOUL,PERSONAL,2021-12-03,ATL,PHI,2021-12-06T20:47:38Z,34.69388% Complete    02:01.6       To       01:44.1,gameId=0022100335,ATL,202112030ATL,0022100335,Mousa Dagher,Tyler Ford,David Guthrie,17092,33.43333333333333,PHI,away,NA,NA,NA,PERSONAL,1,49,1.8166666666666669,2022,FALSE,CNC,CNC,correct,1,clean,0,2015,2015-12-03
Q4,00:03:00,Foul: Personal,Michael Porter Jr.,Facundo Campazzo,CNC,"Porter Jr. (GSW) attempts to steal the ball and marginal contact occurs with Campazzo's (DEN) side, which does not affect his SQBR.",Nuggets(89) @ Warriors(86),NA,NA,"December 28, 2021",89,DEN,86,GSW,FOUL,PERSONAL,2021-12-28,GSW,DEN,2021-12-30T23:53:53Z,6.122449% Complete    00:05.5       To       00:02.5,gameId=0022100514,GSW,202112280GSW,0022100514,Nick Buchert,John Butler,Kevin Scott,18064,NA,NA,NA,31.93333333333334,DEN,away,PERSONAL,0,3.6,0.06,2022,FALSE,CNC,CNC,correct,1,clean,0,2015,2015-12-28
Q4,01:10:00,Foul: Offensive,Jonas Valanciunas,Darius Garland,CNC,Valanciunas (NOP) establishes his screening position in Garland's (CLE) path and absorbs the contact.,Cavaliers(104) @ Pelicans(108),NA,NA,"December 28, 2021",104,CLE,108,NOP,FOUL,OFFENSIVE,2021-12-28,NOP,CLE,2021-12-30T23:53:51Z,38.77551% Complete    01:22.0       To       01:02.5,gameId=0022100513,NOP,202112280NOP,0022100513,Jason Goldenberg,Ben Taylor,NA,15835,30.13333333333333,NOP,home,NA,NA,NA,OFFENSIVE,1,10,1.1666666666666667,2022,FALSE,CNC,CNC,correct,1,clean,0,2015,2015-12-28
Q4,00:42:00,Foul: Loose Ball,JaMychal Green,Trey Lyles,CNC,Green (DEN) and Lyles (DET) briefly engage and disengage while rebounding.,Nuggets(110) @ Pistons(105),NA,NA,"January 25, 2022",110,DEN,105,DET,FOUL,LOOSE BALL,2022-01-25,DET,DEN,2022-01-26T22:20:45Z,61.22449% Complete    01:13.1       To       00:42.5,gameId=0022100714,DET,202201250DET,0022100714,Brent Barnaky,Mousa Dagher,Leon Wood,16023,NA,DEN,away,22.68333333333334,DET,home,LOOSE BALL,0,42.5,0.7083333333333334,2022,FALSE,CNC,CNC,correct,1,clean,0,2016,2016-01-25
Q4,00:22:00,Violation: Kicked Ball,JaMychal Green,Cade Cunningham,CNC,Green (DEN) moves laterally against Cunningham's (DET) path and makes incidental foot to ball contact during his drive to the basket.,Nuggets(110) @ Pistons(105),NA,NA,"January 25, 2022",110,DEN,105,DET,VIOLATION,KICKED BALL,2022-01-25,DET,DEN,2022-01-26T22:20:45Z,20.408163% Complete    00:29.2       To       00:18.6,gameId=0022100714,DET,202201250DET,0022100714,Brent Barnaky,Mousa Dagher,Leon Wood,16023,NA,DEN,away,39.83333333333334,DET,home,KICKED BALL VIOLATION,0,22,0.36666666666666664,2022,FALSE,CNC,CNC,correct,1,clean,0,2016,2016-01-25
Q4,00:35:00,Foul: Personal,Donovan Mitchell,Mitch Johnson,CNC,Mitchell (UTA) makes clean contact with the ball and dislodges it away from Johnson (SAS) prior to incidental arm and body contact taking place.,Jazz(102) @ Spurs(104),NA,NA,"March 11, 2022",102,UTA,104,SAS,FOUL,PERSONAL,2022-03-11,SAS,UTA,2022-03-13T21:05:23Z,44.89796% Complete    00:53.8       To       00:31.6,gameId=0022101002,SAS,202203110SAS,0022101002,Nick Buchert,David Guthrie,Gediminas Petraitis,15753,34.86666666666667,UTA,away,NA,NA,NA,PERSONAL,0,35.2,0.5866666666666667,2022,FALSE,CNC,CNC,correct,1,clean,0,2016,2016-03-11
