period,time,call_type,committing,disadvantaged,decision,comments,game_details,page,file,game_date,away_score,away_team,home_score,home_team
Q4,01:57.0,Foul: Personal,CJ McCollum,Goran Dragic,CC,McCollum (POR) makes body to body contact with Dragic (MIA) prior to his upward shooting motion.,"Heat (109) @ Trail Blazers (115) February 9, 2020",1,L2M-MIA-POR-02-09-2020.pdf,"February 9, 2020",109,Heat,115,Trail Blazers
Q4,01:52.0,Foul: Loose Ball,Jae Crowder,Hassan Whiteside,CNC,Crowder (MIA) makes slight contact with Whiteside (POR) during the rebound.,"Heat (109) @ Trail Blazers (115) February 9, 2020",1,L2M-MIA-POR-02-09-2020.pdf,"February 9, 2020",109,Heat,115,Trail Blazers
Q4,01:34.0,Foul: Personal,Andre Iguodala,Trevor Ariza,INC,"After the pick, Iguodala (MIA) continues to move into and affects Ariza's (POR) FOM.","Heat (109) @ Trail Blazers (115) February 9, 2020",1,L2M-MIA-POR-02-09-2020.pdf,"February 9, 2020",109,Heat,115,Trail Blazers
Q4,01:34.0,Foul: Offensive,Trevor Ariza,Andre Iguodala,CNC,Ariza (POR) is firming up and makes marginal contact with Iguodala (MIA) during the pick.,"Heat (109) @ Trail Blazers (115) February 9, 2020",1,L2M-MIA-POR-02-09-2020.pdf,"February 9, 2020",109,Heat,115,Trail Blazers
Q4,01:30.0,Foul: Personal,Bam Adebayo,Hassan Whiteside,IC,"Adebayo (MIA) cleanly dislodges the basketball, any additional contact to Whiteside's (POR) arm is deemed incidental.","Heat (109) @ Trail Blazers (115) February 9, 2020",1,L2M-MIA-POR-02-09-2020.pdf,"February 9, 2020",109,Heat,115,Trail Blazers
Q4,01:22.0,Foul: Offensive,Bam Adebayo,Trevor Ariza,CNC,Adebayo (MIA) sets the screen on Ariza (POR) and gives him room to avoid the contact.,"Heat (109) @ Trail Blazers (115) February 9, 2020",1,L2M-MIA-POR-02-09-2020.pdf,"February 9, 2020",109,Heat,115,Trail Blazers
Q4,01:15.0,Foul: Shooting,CJ McCollum,Goran Dragic,CNC,"McCollum (POR) legally contests Dragic's (MIA) jump shot attempt. Any ""high-five"" contact after the release is considered","Heat (109) @ Trail Blazers (115) February 9, 2020",1,L2M-MIA-POR-02-09-2020.pdf,"February 9, 2020",109,Heat,115,Trail Blazers
Q4,00:57.7,Foul: Shooting,Jae Crowder,Damian Lillard,CNC,Crowder (MIA) maintains a legal guarding position and cleanly blocks Lillard's (POR) shot attempt.,"Heat (109) @ Trail Blazers (115) February 9, 2020",1,L2M-MIA-POR-02-09-2020.pdf,"February 9, 2020",109,Heat,115,Trail Blazers
Q4,00:27.1,Foul: Shooting,Jae Crowder,Damian Lillard,CNC,Crowder (MIA) has a resting hand on Lillard's (POR) body during his shot attempt.,"Heat (109) @ Trail Blazers (115) February 9, 2020",1,L2M-MIA-POR-02-09-2020.pdf,"February 9, 2020",109,Heat,115,Trail Blazers
Q4,00:25.6,Foul: Offensive,Bam Adebayo,Trevor Ariza,CNC,"Adebayo (MIA) is firming up and sets the pick on Ariza (POR), the two make marginal contact with one another as they disengage","Heat (109) @ Trail Blazers (115) February 9, 2020",1,L2M-MIA-POR-02-09-2020.pdf,"February 9, 2020",109,Heat,115,Trail Blazers
Q4,00:24.9,Foul: Shooting,Damian Lillard,Duncan Robinson,CNC,Lillard (POR) makes some contact with Robinson (MIA) after he extends his leg unnaturally on his follow through.,"Heat (109) @ Trail Blazers (115) February 9, 2020",1,L2M-MIA-POR-02-09-2020.pdf,"February 9, 2020",109,Heat,115,Trail Blazers
Q4,00:11.5,Foul: Personal,Bam Adebayo,Hassan Whiteside,CC,Adebayo (MIA) commits a take foul on Whiteside (POR).,"Heat (109) @ Trail Blazers (115) February 9, 2020",2,L2M-MIA-POR-02-09-2020.pdf,"February 9, 2020",109,Heat,115,Trail Blazers
Q4,00:06.0,Foul: Loose Ball,CJ McCollum,Jae Crowder,CC,"McCollum (POR) dislodges Crowder (MIA), affecting his ability to retrieve the rebound.","Heat (109) @ Trail Blazers (115) February 9, 2020",2,L2M-MIA-POR-02-09-2020.pdf,"February 9, 2020",109,Heat,115,Trail Blazers
Q4,02:00.0,Foul: Personal,Dejounte Murray,Ricky Rubio,CC,Murray (SAS) makes contact with Rubio (PHX) that affects his FOM as he sets the screen.,"Spurs @ Suns (Dec 14, 2019)",1,Spurs-121-Suns-119-OT.pdf,"Dec 14, 2019",121,Spurs,119,Suns
