period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:58.7,Foul: Shooting,LaMarcus Aldridge,Damian Lillard,CNC,Aldridge (SAS) legally contests Lillard's (POR) jump shot attempt.,18.3673477% Complete    02:06.0       To       01:57.0,gameId=0021900048,Trail Blazers(110) @ Spurs(113),"October 28, 2019",2019-11-03T23:19:07Z
Q4,01:42,Foul: Offensive,CJ McCollum,Derrick White,CNC,McCollum (POR) is already in White's (SAS) path when contact occurs and he does not deliver contact.,12.2448978% Complete    01:43.2       To       01:37.0,gameId=0021900048,Trail Blazers(110) @ Spurs(113),"October 28, 2019",2019-11-03T23:19:07Z
Q4,01:37.9,Foul: Personal,Bryn Forbes,Damian Lillard,CC,Prior to the start of the upward shooting motion Forbes (SAS) reaches in and makes contact to Lillard's (POR) arm on the perimeter.,12.2448978% Complete    01:43.2       To       01:37.0,gameId=0021900048,Trail Blazers(110) @ Spurs(113),"October 28, 2019",2019-11-03T23:19:07Z
Q4,01:23,Foul: Personal,Rodney Hood,DeMar DeRozan,CNC,Hood (POR) maintains legal guarding position as he defends DeRozan's (SAS) drive to the basket.,38.77551% Complete    01:37.0       To       01:17.7,gameId=0021900048,Trail Blazers(110) @ Spurs(113),"October 28, 2019",2019-11-03T23:19:07Z
Q4,01:13.0,Foul: Offensive,Anthony Tolliver,Derrick White,CNC,Tolliver (POR) is already in White's (SAS) path when contact occurs and he does not deliver contact.,12.2448978% Complete    01:17.7       To       01:10.8,gameId=0021900048,Trail Blazers(110) @ Spurs(113),"October 28, 2019",2019-11-03T23:19:07Z
Q4,01:00.6,Foul: Offensive,LaMarcus Aldridge,Damian Lillard,CNC,Aldridge (SAS) is already in Lillard's (POR) path when contact occurs and he does not deliver contact.,34.69388% Complete    01:10.8       To       00:53.7,gameId=0021900048,Trail Blazers(110) @ Spurs(113),"October 28, 2019",2019-11-03T23:19:07Z
Q4,00:55.0,Foul: Shooting,Damian Lillard,Derrick White,CNC,Lillard (POR) does not make contact to White's (SAS) arm as he defends the shot attempt.,34.69388% Complete    01:10.8       To       00:53.7,gameId=0021900048,Trail Blazers(110) @ Spurs(113),"October 28, 2019",2019-11-03T23:19:07Z
Q4,00:48.2,Foul: Shooting,LaMarcus Aldridge,CJ McCollum,CNC,Aldridge (SAS) makes incidental contact with McCollum (POR) that does not affect his ability to follow through naturally.,14.2857141% Complete    00:53.7       To       00:46.3,gameId=0021900048,Trail Blazers(110) @ Spurs(113),"October 28, 2019",2019-11-03T23:19:07Z
Q4,00:46.3,Foul: Loose Ball,CJ McCollum,LaMarcus Aldridge,IC,McCollum (POR) briefly places his hand to Aldridge's (SAS) side but immediately removes his hands and he does not extend his hands into Aldridge.  The contact is marginal and does not affect Aldridge's ability to secure the rebound.,1% Complete    00:46.3       To       00:46.2,gameId=0021900048,Trail Blazers(110) @ Spurs(113),"October 28, 2019",2019-11-03T23:19:07Z
Q4,00:41.6,Foul: Shooting,Derrick White,Damian Lillard,CNC,White (SAS) legally contests Lillard's (POR) driving shot attempt.,10.2040815% Complete    00:46.2       To       00:40.4,gameId=0021900048,Trail Blazers(110) @ Spurs(113),"October 28, 2019",2019-11-03T23:19:07Z
Q4,00:34.2,Foul: Personal,Anfernee Simons,Patty Mills,CNC,Simons (POR) places his hand momentarily on Mills' (SAS) side before correcting.,26.5306129% Complete    00:40.4       To       00:26.9,gameId=0021900048,Trail Blazers(110) @ Spurs(113),"October 28, 2019",2019-11-03T23:19:07Z
Q4,00:31.2,Foul: Offensive,Patty Mills,Rodney Hood,CNC,Mills (SAS) is already in Hood's (POR) path when contact occurs and he does not deliver contact.,26.5306129% Complete    00:40.4       To       00:26.9,gameId=0021900048,Trail Blazers(110) @ Spurs(113),"October 28, 2019",2019-11-03T23:19:07Z
Q4,00:28.6,Foul: Offensive,DeMar DeRozan,Rodney Hood,CNC,DeRozan (SAS) extends his arm as he releases from the contact with Hood (POR) and does not affect Hood's ability to defend.,26.5306129% Complete    00:40.4       To       00:26.9,gameId=0021900048,Trail Blazers(110) @ Spurs(113),"October 28, 2019",2019-11-03T23:19:07Z
