period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:54.0,Foul: Offensive,Richaun Holmes,Jaylen Brown,CNC,Holmes (SAC) establishes himself in a screening position in the path of Brown (BOS) and does not deliver contact.,36.7346954% Complete    02:02.0       To       01:43.2,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
Q4,01:34.9,Foul: Offensive,Jaylen Brown,Buddy Hield,CNC,Brown (BOS) establishes himself in a screening position in the path of Hield (SAC) and gives him room to avoid the contact.,34.69388% Complete    01:43.2       To       01:26.1,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
Q4,01:32.5,Foul: Personal,Buddy Hield,Jaylen Brown,CNC,Hield (SAC) makes marginal contact with Brown (BOS) in the post.,34.69388% Complete    01:43.2       To       01:26.1,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
Q4,01:26.1,Foul: Personal,Marcus Smart,Bogdan Bogdanovic,CNC,Smart (BOS) maintains legal guarding position as he defends Bogdanovic (SAC) and does not affects his SQBR.,38.77551% Complete    01:26.1       To       01:06.4,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
Q4,01:14.0,Foul: Offensive,Richaun Holmes,Jaylen Brown,CNC,Holmes (SAC) establishes himself in a screening position in the path of Brown (BOS) and does not deliver contact.,38.77551% Complete    01:26.1       To       01:06.4,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
Q4,00:59.0,Foul: Personal,Buddy Hield,Jaylen Brown,CNC,Hield (SAC) briefly engages with Brown (BOS) as he accepts the switch and move down the lane.,34.69388% Complete    01:06.4       To       00:48.7,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
Q4,00:54.2,Foul: Offensive,Robert Williams III,Cory Joseph,CNC,Williams III (BOS) establishes himself in a screening position in the path of Joseph (SAC) and does not deliver contact.,34.69388% Complete    01:06.4       To       00:48.7,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
Q4,00:41.5,Foul: Offensive,Richaun Holmes,Jaylen Brown,CNC,Holmes (SAC) establishes himself in a screening position in the path of Brown (BOS) and does not deliver contact.,18.3673477% Complete    00:48.7       To       00:39.0,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
Q4,00:33.1,Foul: Offensive,Jaylen Brown,Buddy Hield,CNC,Brown (BOS) establishes himself in a screening position in the path of Hield (SAC) and gives him room to avoid the contact.,16.32653% Complete    00:39.0       To       00:31.0,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
Q4,00:33.0,Turnover: Traveling,Marcus Smart,Kings,INC,Smart (BOS) hops consecutively on the same foot after gathering his dribble.,16.32653% Complete    00:39.0       To       00:31.0,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
Q4,00:31.7,Foul: Shooting,Cory Joseph,Marcus Smart,CNC,Joseph (SAC) maintains legal guarding position as he defends Smart's (BOS) drive to the basket and shot attempt.,16.32653% Complete    00:39.0       To       00:31.0,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
Q4,00:28.9,Foul: Personal,Marcus Smart,Bogdan Bogdanovic,CNC,Smart (BOS) maintains legal guarding position as he cleanly deflects the ball from Bogdanovic's (SAC).,4.08163261% Complete    00:31.0       To       00:28.9,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
Q4,00:25.9,Foul: Shooting,Buddy Hield,Marcus Smart,CNC,Hield (SAC) maintains legal guarding position as he blocks Smart's (BOS) drive to the basket and shot attempt.  Any contact after the block is considered incidental.,42.8571434% Complete    00:28.9       To       00:07.0,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
Q4,00:13.6,Foul: Offensive,Jayson Tatum,Harrison Barnes,CNC,Tatum (BOS) makes marginal contact with Barnes (SAC) off-ball as he secures the inbounds pass.,42.8571434% Complete    00:28.9       To       00:07.0,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
Q4,00:13.6,Foul: Personal,Harrison Barnes,Jayson Tatum,CNC,Barnes (SAC) makes incidental contact with Tatum (BOS) during the inbounds pass but does not restrict his FOM.,42.8571434% Complete    00:28.9       To       00:07.0,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
Q4,00:09.4,Foul: Shooting,Harrison Barnes,Jayson Tatum,CNC,Barnes (SAC) makes incidental contact to the arm of Tatum (BOS) after the release that does not affect his jump shot attempt.,42.8571434% Complete    00:28.9       To       00:07.0,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
Q4,00:07.0,Foul: Loose Ball,Robert Williams III,Richaun Holmes,CNC,Williams III (BOS) and Holmes (SAC) engage and disengage during the rebound.,42.8571434% Complete    00:28.9       To       00:07.0,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
Q4,00:05.6,Foul: Offensive,Harrison Barnes,Jaylen Brown,CNC,Barnes (SAC) establishes himself in a screening position in the path of Brown (BOS) and does not deliver contact.,14.2857141% Complete    00:07.0       To       00:00.0,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
Q4,00:02.3,Foul: Loose Ball,Richaun Holmes,Marcus Smart,CNC,Holmes (SAC) makes slight contact to Smart's (BOS) body during the rebound.,14.2857141% Complete    00:07.0       To       00:00.0,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
Q4,00:00.3,Turnover: Lost Ball Out of Bounds,Cory Joseph,Celtics,INC,"During the rebound, Joseph (SAC) tips the ball over the backboard and the ball is out of bounds with time still remaining on the game clock.  However, the game clock continues to run and reaches 00:00.0.  Officials do not go to replay review and the game ends.",14.2857141% Complete    00:07.0       To       00:00.0,gameId=0021900244,Kings(102) @ Celtics(103),"November 25, 2019",2019-11-29T14:01:55Z
