period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:54.8,Foul: Offensive,Bismack Biyombo,Josh Okogie,CNC,Biyombo (CHA) sets the pick in Okogie's (MIN) path and gives him room to avoid the contact.,42.8571434% Complete    02:04.3       To       01:43.0,gameId=0021900813,Hornets(115) @ Timberwolves(108),"February 12, 2020",2020-02-13T21:09:30Z
Q4,01:50.5,Foul: Personal,Malik Beasley,P.J. Washington,CNC,Beasley (MIN) moves laterally into Washington's (CHA) path at the end of the drive but the contact is marginal and does not affect his ability to pass.,42.8571434% Complete    02:04.3       To       01:43.0,gameId=0021900813,Hornets(115) @ Timberwolves(108),"February 12, 2020",2020-02-13T21:09:30Z
Q4,01:43.8,Foul: Shooting,D'Angelo Russell,Miles Bridges,CC,Russell (MIN) makes contact with Bridges's (CHA) body during his shooting motion that affects his jump shot attempt.,42.8571434% Complete    02:04.3       To       01:43.0,gameId=0021900813,Hornets(115) @ Timberwolves(108),"February 12, 2020",2020-02-13T21:09:30Z
Q4,01:25.1,Foul: Shooting,Malik Monk,Malik Beasley,CNC,Monk (CHA) cleanly blocks Beasley's (DEN) driving shot attempt.,46.9387741% Complete    01:43.0       To       01:19.1,gameId=0021900813,Hornets(115) @ Timberwolves(108),"February 12, 2020",2020-02-13T21:09:30Z
Q4,01:22.2,Foul: Shooting,Malik Monk,Juancho Hernangomez,CNC,Monk (CHA) makes marginal contact with Hernangomez's (MIN) body before blocking the shot attempt near the rim.,46.9387741% Complete    01:43.0       To       01:19.1,gameId=0021900813,Hornets(115) @ Timberwolves(108),"February 12, 2020",2020-02-13T21:09:30Z
Q4,01:21.5,Foul: Loose Ball,Juancho Hernangomez,Miles Bridges,CNC,"Hernangomez (MIN) makes marginal contact with Bridges' (CHA) head during the loose ball. Contact to an opponent's head/face can be deemed marginal when the result of a natural basketball move, provided the contact is not disproportionate or uncontrolled.",46.9387741% Complete    01:43.0       To       01:19.1,gameId=0021900813,Hornets(115) @ Timberwolves(108),"February 12, 2020",2020-02-13T21:09:30Z
Q4,00:57.4,Foul: Offensive,Malik Monk,Juancho Hernangomez,CNC,Monk (CHA) sets the pick in Hernangomez's (MIN) path and gives him room to avoid the contact.,51.02041% Complete    01:19.1       To       00:54.0,gameId=0021900813,Hornets(115) @ Timberwolves(108),"February 12, 2020",2020-02-13T21:09:30Z
Q4,00:47.7,Foul: Personal,P.J. Washington,D'Angelo Russell,CNC,Washington (CHA) cleanly dislodges the ball from Russell (MIN) on the perimeter.,12.2448978% Complete    00:54.0       To       00:47.7,gameId=0021900813,Hornets(115) @ Timberwolves(108),"February 12, 2020",2020-02-13T21:09:30Z
Q4,00:33.0,Foul: Personal,D'Angelo Russell,Devonte' Graham,CNC,Russell (MIN) places a marginal hand to Graham's (CHA) side on the perimeter.,42.8571434% Complete    00:47.7       To       00:26.2,gameId=0021900813,Hornets(115) @ Timberwolves(108),"February 12, 2020",2020-02-13T21:09:30Z
Q4,00:30.5,Foul: Personal,Malik Beasley,Malik Monk,CNC,Beasley (MIN) makes clean contact with the ball as he defends the pass to Monk (CHA) near midcourt.,42.8571434% Complete    00:47.7       To       00:26.2,gameId=0021900813,Hornets(115) @ Timberwolves(108),"February 12, 2020",2020-02-13T21:09:30Z
Q4,00:23.0,Foul: Away from Play,Josh Okogie,Devonte' Graham,CNC,Okogie (MIN) and Graham (CHA) briefly engage and separate during the inbound.,2.04081631% Complete    00:23.0       To       00:21.8,gameId=0021900813,Hornets(115) @ Timberwolves(108),"February 12, 2020",2020-02-13T21:09:30Z
Q4,00:21.8,Foul: Personal,Josh Okogie,Devonte' Graham,CC,Okogie (MIN) commits a take foul on Graham (CHA).,2.04081631% Complete    00:23.0       To       00:21.8,gameId=0021900813,Hornets(115) @ Timberwolves(108),"February 12, 2020",2020-02-13T21:09:30Z
Q4,00:16.7,Foul: Shooting,Miles Bridges,D'Angelo Russell,CNC,Bridges (CHA) cleanly blocks Russell's (MIN) jump shot attempt.,22.44898% Complete    00:21.8       To       00:10.6,gameId=0021900813,Hornets(115) @ Timberwolves(108),"February 12, 2020",2020-02-13T21:09:30Z
Q4,00:14.7,Foul: Offensive,James Johnson,Devonte' Graham,CNC,Johnson (MIN) sets the screen in Graham's (CHA) path and gives him room to avoid the contact.,22.44898% Complete    00:21.8       To       00:10.6,gameId=0021900813,Hornets(115) @ Timberwolves(108),"February 12, 2020",2020-02-13T21:09:30Z
Q4,00:11.0,Foul: Offensive,Devonte' Graham,D'Angelo Russell,CNC,Graham (CHA) makes marginal contact with Russell (MIN) as he disengages from the contact during the inbound.,22.44898% Complete    00:21.8       To       00:10.6,gameId=0021900813,Hornets(115) @ Timberwolves(108),"February 12, 2020",2020-02-13T21:09:30Z
Q4,00:10.6,Foul: Away from Play,D'Angelo Russell,Devonte' Graham,CNC,Russell (MIN) and Graham (CHA) engage and separate during the inbound.,1% Complete    00:10.6       To       00:09.8,gameId=0021900813,Hornets(115) @ Timberwolves(108),"February 12, 2020",2020-02-13T21:09:30Z
Q4,00:09.8,Foul: Personal,Malik Beasley,Miles Bridges,CC,Beasley (MIN) commits a take foul on Bridges (CHA).,1% Complete    00:10.6       To       00:09.8,gameId=0021900813,Hornets(115) @ Timberwolves(108),"February 12, 2020",2020-02-13T21:09:30Z
Q4,00:06.2,Foul: Shooting,Malik Monk,Juancho Hernangomez,CNC,Monk (CHA) maintains a legal guarding position during Hernangomez's (MIN) jump shot attempt.,10.2040815% Complete    00:09.8       To       00:03.9,gameId=0021900813,Hornets(115) @ Timberwolves(108),"February 12, 2020",2020-02-13T21:09:30Z
