period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:55.2,Foul: Shooting,Naji Marshall,Kevin Durant,CNC,Marshall (NOP) maintains a legal guarding position while contesting Durant's (BKN) shot attempt.,30.612246% Complete    02:09.0       To       01:53.3,gameId=0022200586,Nets(108) @ Pelicans(102),"January 06, 2023",2023-01-10T02:43:38Z
Q4,01:53.3,Foul: Loose Ball,Jonas Valanciunas,Nic Claxton,CNC,"Valanciunas (NOP) and Claxton (BKN) mutually engage as both players come together during the rebound attempt. As they are disengaging,  Valanciunas slightly extends his arm into Claxton.",30.612246% Complete    02:09.0       To       01:53.3,gameId=0022200586,Nets(108) @ Pelicans(102),"January 06, 2023",2023-01-10T02:43:38Z
Q4,01:42.0,Foul: Shooting,T.J. Warren,CJ McCollum,CC,Warren (BKN) initiates contact with McCollum's (NOP) wrist as McCollum goes into his upward shooting motion.,22.44898% Complete    01:53.3       To       01:42.0,gameId=0022200586,Nets(108) @ Pelicans(102),"January 06, 2023",2023-01-10T02:43:38Z
Q4,01:23.7,Foul: Shooting,Herbert Jones,Kevin Durant,CNC,Jones (NOP) moves alongside Durant's (BKN) path and avoids making contact with Durant's arm as he is gathering the ball into his shot attempt.,48.97959% Complete    01:42.0       To       01:17.4,gameId=0022200586,Nets(108) @ Pelicans(102),"January 06, 2023",2023-01-10T02:43:38Z
Q4,01:21.3,Foul: Personal,Trey Murphy III,Kyrie Irving,CNC,Murphy III (NOP) maintains a legal guarding position as Irving (BKN) splits two defenders during his drive toward the rim.,48.97959% Complete    01:42.0       To       01:17.4,gameId=0022200586,Nets(108) @ Pelicans(102),"January 06, 2023",2023-01-10T02:43:38Z
Q4,01:17.4,Foul: Personal,Kevin Durant,CJ McCollum,CNC,Durant (BKN) moves alongside McCollum's (NOP) path and maintains a legal guarding position during McCollum's drive toward the rim.,20.408163% Complete    01:17.4       To       01:06.8,gameId=0022200586,Nets(108) @ Pelicans(102),"January 06, 2023",2023-01-10T02:43:38Z
Q4,01:08.0,Foul: Shooting,Nic Claxton,Herbert Jones,CNC,Claxton (BKN) jumps slightly forward and initiates marginal contact with Jones' (NOP) lower body during the shot attempt.,20.408163% Complete    01:17.4       To       01:06.8,gameId=0022200586,Nets(108) @ Pelicans(102),"January 06, 2023",2023-01-10T02:43:38Z
Q4,00:39.9,Foul: Shooting,Ben Simmons,CJ McCollum,CNC,Simmons' (BKN) hand slides off McCollum's (NOP) off-arm as he moves to a vertical position during the shot attempt.,8.163265% Complete    00:43.4       To       00:39.1,gameId=0022200586,Nets(108) @ Pelicans(102),"January 06, 2023",2023-01-10T02:43:38Z
Q4,00:14.6,Foul: Loose Ball,Herbert Jones,Nic Claxton,CC,Jones (NOP) initiates contact to Claxton (BKN) that affects his ability to control the rebound.,53.061226% Complete    00:39.1       To       00:12.8,gameId=0022200586,Nets(108) @ Pelicans(102),"January 06, 2023",2023-01-10T02:43:38Z
Q4,00:14.6,Foul: Offensive,Kyrie Irving,Jose Alvarado,CNC,"As Irving (BKN) turns to run through the lane, he inadvertently makes contact with Alvarado's (NOP) head. Contact to an opponent's head/face can be deemed marginal when the result of a natural basketball move, provided the contact is not disproportionate or uncontrolled.",53.061226% Complete    00:39.1       To       00:12.8,gameId=0022200586,Nets(108) @ Pelicans(102),"January 06, 2023",2023-01-10T02:43:38Z
Q4,00:12.8,Foul: Personal,Herbert Jones,Kyrie Irving,CC,Jones (NOP) commits a take foul on Irving (BKN).,53.061226% Complete    00:39.1       To       00:12.8,gameId=0022200586,Nets(108) @ Pelicans(102),"January 06, 2023",2023-01-10T02:43:38Z
