period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:55,Foul: Offensive,James Harden,Jrue Holiday,CNC,While dribbling on the perimeter Harden (PHI) slightly extends his off-arm into Holiday's (MIL) body. The contact is marginal and does not affect Holiday's ability to defend.,46.938774% Complete    02:07.1       To       01:43.3,gameId=0022200015,Bucks(90) @ 76ers(88),"October 20, 2022",2022-10-23T19:55:24Z
Q4,01:44.5,Foul: Shooting,Brook Lopez,James Harden,CNC,Lopez (MIL) legally contests Harden?s (PHI) jump shot attempt.,46.938774% Complete    02:07.1       To       01:43.3,gameId=0022200015,Bucks(90) @ 76ers(88),"October 20, 2022",2022-10-23T19:55:24Z
Q4,01:29.6,Foul: Offensive,Giannis Antetokounmpo,Tyrese Maxey,CNC,Antetokounmpo (MIL) establishes himself in Maxey?s (PHI) path and does not deliver illegal contact.,67.34694% Complete    01:43.3       To       01:10.1,gameId=0022200015,Bucks(90) @ 76ers(88),"October 20, 2022",2022-10-23T19:55:24Z
Q4,01:26.5,Foul: Shooting,Tyrese Maxey,Grayson Allen,CNC,Maxey (PHI) moves alongside Allen?s (MIL) path and maintains a legal guarding position as incidental contact occurs during the driving shot attempt.,67.34694% Complete    01:43.3       To       01:10.1,gameId=0022200015,Bucks(90) @ 76ers(88),"October 20, 2022",2022-10-23T19:55:24Z
Q4,01:25.1,Foul: Loose Ball,James Harden,Giannis Antetokounmpo,CNC,Harden (PHI) momentarily places a resting hand on Antetokounmpo's (MIL) back.  The contact is marginal and does not disrupt his ability to tip the rebound out to his teammate.,67.34694% Complete    01:43.3       To       01:10.1,gameId=0022200015,Bucks(90) @ 76ers(88),"October 20, 2022",2022-10-23T19:55:24Z
Q4,01:22,Foul: Offensive,Brook Lopez,Tyrese Maxey,CNC,Lopez (MIL) establishes himself in Maxey?s (PHI) path and does not deliver illegal contact.,67.34694% Complete    01:43.3       To       01:10.1,gameId=0022200015,Bucks(90) @ 76ers(88),"October 20, 2022",2022-10-23T19:55:24Z
Q4,00:31.3,Foul: Offensive,Brook Lopez,P.J. Tucker,CNC,Lopez (MIL) establishes himself in Tucker?s (PHI) path and does not deliver illegal contact.,18.367348% Complete    00:32.9       To       00:23.7,gameId=0022200015,Bucks(90) @ 76ers(88),"October 20, 2022",2022-10-23T19:55:24Z
Q4,00:31.0,Foul: Loose Ball,Giannis Antetokounmpo,P.J. Tucker,CC,Replay review of the foul called on Antetokounmpo (MIL) pursuant to a coach?s challenge was deemed unsuccessful.  Antetokounmpo has a hand on Tucker's (PHI) shoulder and impedes his ability to elevate for the rebound.,-4.0816326% Complete    00:31.0       To       00:32.9,gameId=0022200015,Bucks(90) @ 76ers(88),"October 20, 2022",2022-10-23T19:55:24Z
Q4,00:30.6,Foul: Offensive,Giannis Antetokounmpo,Danuel House Jr.,CNC,Antetokounmpo (MIL) turns to roll and incidental contact occurs with House Jr. (PHI) as he goes under the pick.,18.367348% Complete    00:32.9       To       00:23.7,gameId=0022200015,Bucks(90) @ 76ers(88),"October 20, 2022",2022-10-23T19:55:24Z
Q4,00:23.7,Foul: Offensive,Joel Embiid,Grayson Allen,CNC,Embiid (PHI) extends into Allen's (MIL) path but avoids making illegal contact.,36.734695% Complete    00:23.7       To       00:04.9,gameId=0022200015,Bucks(90) @ 76ers(88),"October 20, 2022",2022-10-23T19:55:24Z
