period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:57.1,Turnover: Out of Bounds,Josh Hart,Deandre Ayton,CC,Hart (POR) is the last to touch the ball before it goes out of bounds.,26.530613% Complete    02:06.0       To       01:52.6,gameId=0022200027,Suns(111) @ Trail Blazers(113),"October 21, 2022",2022-10-23T19:55:21Z
Q4,01:57.1,Foul: Personal,Anfernee Simons,Devin Booker,CNC,Simons (POR) briefly rests his arm on Booker's (PHX) hip.,26.530613% Complete    02:06.0       To       01:52.6,gameId=0022200027,Suns(111) @ Trail Blazers(113),"October 21, 2022",2022-10-23T19:55:21Z
Q4,01:44.9,Foul: Offensive,Anfernee Simons,Deandre Ayton,CNC,Simons (POR) establishes himself in Ayton?s (PHX) path and some contact occurs during the screen attempt.,24.489796% Complete    01:52.6       To       01:40.4,gameId=0022200027,Suns(111) @ Trail Blazers(113),"October 21, 2022",2022-10-23T19:55:21Z
Q4,01:43.1,Foul: Offensive,Jusuf Nurkic,Mikal Bridges,CNC,Nurkic (POR) is set in Bridges' (PHX) path and marginal contact occurs during the pick.,24.489796% Complete    01:52.6       To       01:40.4,gameId=0022200027,Suns(111) @ Trail Blazers(113),"October 21, 2022",2022-10-23T19:55:21Z
Q4,01:40.9,Violation: Defensive Goaltending,Deandre Ayton,Damian Lillard,CNC,Ayton (PHX) makes contact with the ball before the ball touches the backboard.,24.489796% Complete    01:52.6       To       01:40.4,gameId=0022200027,Suns(111) @ Trail Blazers(113),"October 21, 2022",2022-10-23T19:55:21Z
Q4,01:35.4,Foul: Personal,Anfernee Simons,Devin Booker,CNC,Simons (POR) brings his arm toward Booker?s (PHX) path and marginal contact occurs at the start of Booker?s (PHX) drive.,14.285714% Complete    01:40.4       To       01:32.5,gameId=0022200027,Suns(111) @ Trail Blazers(113),"October 21, 2022",2022-10-23T19:55:21Z
Q4,01:33.4,Foul: Shooting,Josh Hart,Devin Booker,CNC,Hart (POR) jumps up vertically and absorbs the contact initiated by Booker (PHX) during Booker's driving shot attempt.,14.285714% Complete    01:40.4       To       01:32.5,gameId=0022200027,Suns(111) @ Trail Blazers(113),"October 21, 2022",2022-10-23T19:55:21Z
Q4,01:33.4,Foul: Shooting,Jusuf Nurkic,Devin Booker,CNC,Nurkic (POR) makes incidental contact with Booker (PHX) after the release of Booker's shot attempt.,14.285714% Complete    01:40.4       To       01:32.5,gameId=0022200027,Suns(111) @ Trail Blazers(113),"October 21, 2022",2022-10-23T19:55:21Z
Q4,01:23.2,Foul: Offensive,Jusuf Nurkic,Mikal Bridges,CNC,Nurkic (POR) is set in Bridges' (PHX) path and some contact occurs during the pick.,26.530613% Complete    01:32.5       To       01:19.0,gameId=0022200027,Suns(111) @ Trail Blazers(113),"October 21, 2022",2022-10-23T19:55:21Z
Q4,01:00.0,Violation: Defensive Goaltending,Jerami Grant,Chris Paul,CC,Grant (POR) contacts the ball after it has made contact with the backboard and it still has an opportunity to score.,38.77551% Complete    01:19.0       To       00:59.9,gameId=0022200027,Suns(111) @ Trail Blazers(113),"October 21, 2022",2022-10-23T19:55:21Z
Q4,00:51.6,Foul: Offensive,Anfernee Simons,Deandre Ayton,CNC,Simons (POR) is set in Ayton's (PHX) path and maintains a legal screening position as Ayton goes over the top of the screen.,22.44898% Complete    00:59.9       To       00:48.0,gameId=0022200027,Suns(111) @ Trail Blazers(113),"October 21, 2022",2022-10-23T19:55:21Z
Q4,00:50.4,Foul: Offensive,Jusuf Nurkic,Mikal Bridges,CNC,Nurkic (POR) slightly extends his arms into Bridges' (PHX) as Nurkic is rolling toward the rim.,22.44898% Complete    00:59.9       To       00:48.0,gameId=0022200027,Suns(111) @ Trail Blazers(113),"October 21, 2022",2022-10-23T19:55:21Z
Q4,00:48.2,Violation: Defensive Goaltending,Deandre Ayton,Jusuf Nurkic,CNC,Replay review of the defensive goaltending called on Ayton (PHX) is overturned. Ayton makes contact with the ball before it has reached its apex.,22.44898% Complete    00:59.9       To       00:48.0,gameId=0022200027,Suns(111) @ Trail Blazers(113),"October 21, 2022",2022-10-23T19:55:21Z
Q4,00:48.0,Foul: Shooting,Chris Paul,Jusuf Nurkic,CC,Paul (PHX) reaches across Nurkic's (POR) body and delivers contact to Nurkic's arm at the start of his upward shooting motion.,22.44898% Complete    00:59.9       To       00:48.0,gameId=0022200027,Suns(111) @ Trail Blazers(113),"October 21, 2022",2022-10-23T19:55:21Z
Q4,00:37.2,Foul: Shooting,Jusuf Nurkic,Mikal Bridges,CC,Nurkic (POR) jumps from A to B and delivers body contact to Bridges (PHX) during his driving shot attempt.,22.44898% Complete    00:48.0       To       00:37.0,gameId=0022200027,Suns(111) @ Trail Blazers(113),"October 21, 2022",2022-10-23T19:55:21Z
Q4,00:33.2,Foul: Personal,Deandre Ayton,Damian Lillard,CNC,Ayton (PHX) cleanly deflects Lillard's (POR) pass.,6.122449% Complete    00:37.0       To       00:33.2,gameId=0022200027,Suns(111) @ Trail Blazers(113),"October 21, 2022",2022-10-23T19:55:21Z
Q4,00:10.4,Foul: Offensive,Devin Booker,Damian Lillard,CNC,Booker (PHX) extends his leg during the jump shot attempt but avoids making contact with Lillard (POR).,48.97959% Complete    00:33.2       To       00:08.8,gameId=0022200027,Suns(111) @ Trail Blazers(113),"October 21, 2022",2022-10-23T19:55:21Z
Q4,00:08.8,Foul: Loose Ball,Chris Paul,Jerami Grant,CNC,Paul (PHX) moves towards Grant (POR) as he secures the rebound and the contact is marginal.,48.97959% Complete    00:33.2       To       00:08.8,gameId=0022200027,Suns(111) @ Trail Blazers(113),"October 21, 2022",2022-10-23T19:55:21Z
