game_id,game_date,season,game_code,home_team_id,home_team,home_team_abbr,away_team_id,away_team,away_team_abbr,official1,official1_code,official1_JNum,official2,official2_code,official2_JNum,official3,official3_code,official3_JNum,official4,official4_code,official4_JNum,replaycenter_official1,replaycenter_official2,replaycenter_official3,replaycenter_official4,replaycenter_official5,replaycenter_official6,replaycenter_official7,replaycenter_official_code1,replaycenter_official_code2,replaycenter_official_code3,replaycenter_official_code4,replaycenter_official_code5,replaycenter_official_code6,replaycenter_official_code7
1021800009,05/22/2018,22018,20180522/LASIND,1611661325,Indiana,IND,1611661320,Los Angeles,LAS,Eric Brewton,100697,55,Randy Richardson,1627538,11,Natalie Sago,1627541,5,NA,NA,NA,David Guthrie,NA,NA,NA,NA,NA,NA,2714,NA,NA,NA,NA,NA,NA
1021800010,05/22/2018,22018,20180522/LVAWAS,1611661322,Washington,WAS,1611661319,Las Vegas,LVA,Roy Gulbeyan,100274,42,Tony Dawkins,101045,24,Cheryl Flores,203054,13,NA,NA,NA,David Guthrie,NA,NA,NA,NA,NA,NA,2714,NA,NA,NA,NA,NA,NA
1021800011,05/23/2018,22018,20180523/ATLCHI,1611661329,Chicago,CHI,1611661330,Atlanta,ATL,Brenda Pantoja,203207,73,Billy Smith,202299,7,Kevin Sparrock,202047,50,NA,NA,NA,Tony Brothers,NA,NA,NA,NA,NA,NA,1146,NA,NA,NA,NA,NA,NA
1021800012,05/23/2018,22018,20180523/DALMIN,1611661324,Minnesota,MIN,1611661321,Dallas,DAL,Byron Jarrett,202025,21,Katie Lukanich,1627528,66,Jeff Smith,100698,53,NA,NA,NA,Tony Brothers,NA,NA,NA,NA,NA,NA,1146,NA,NA,NA,NA,NA,NA
1021800013,05/23/2018,22018,20180523/SEAPHO,1611661317,Phoenix,PHO,1611661328,Seattle,SEA,Mike Price,100308,39,Tiffany Bird,203438,25,Fatou Cissoko-Stephens,203891,15,NA,NA,NA,Tony Brothers,NA,NA,NA,NA,NA,NA,1146,NA,NA,NA,NA,NA,NA
1021800014,05/24/2018,22018,20180524/LASCON,1611661323,Connecticut,CON,1611661320,Los Angeles,LAS,Roy Gulbeyan,100274,42,Sue Blauch,100296,4,Tim Greene,202038,9,NA,NA,NA,Jason Phillips,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA
1021800015,05/24/2018,22018,20180524/WASIND,1611661325,Indiana,IND,1611661322,Washington,WAS,Byron Jarrett,202025,21,Tom Mauer,100585,45,Ashley Moyer-Gleich,1628163,75,NA,NA,NA,Jason Phillips,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA
1021800017,05/25/2018,22018,20180525/CHISEA,1611661328,Seattle,SEA,1611661329,Chicago,CHI,Maj Forsberg,201538,34,Isaac Barnett,203800,16,Toni Patillo,1628167,76,NA,NA,NA,Marc Davis,NA,NA,NA,NA,NA,NA,1830,NA,NA,NA,NA,NA,NA
1021800016,05/25/2018,22018,20180525/MINNYL,1611661313,New York,NYL,1611661324,Minnesota,MIN,Jeff Wooten,202060,23,John Butler,1627517,35,Janetta Graham,202678,44,NA,NA,NA,Marc Davis,NA,NA,NA,NA,NA,NA,1830,NA,NA,NA,NA,NA,NA
1021800018,05/26/2018,22018,20180526/DALATL,1611661330,Atlanta,ATL,1611661321,Dallas,DAL,Eric Brewton,100697,55,Kevin Fahy,1627522,43,Tim Greene,202038,9,NA,NA,NA,John Goble,NA,NA,NA,NA,NA,NA,101284,NA,NA,NA,NA,NA,NA
1021800019,05/26/2018,22018,20180526/INDCON,1611661323,Connecticut,CON,1611661325,Indiana,IND,Jeff Wooten,202060,23,John Butler,1627517,35,Janetta Graham,202678,44,NA,NA,NA,John Goble,NA,NA,NA,NA,NA,NA,101284,NA,NA,NA,NA,NA,NA
1021800020,05/27/2018,22018,20180527/MINWAS,1611661322,Washington,WAS,1611661324,Minnesota,MIN,Billy Smith,202299,7,Fatou Cissoko-Stephens,203891,15,Randy Richardson,1627538,11,NA,NA,NA,John Goble,NA,NA,NA,NA,NA,NA,101284,NA,NA,NA,NA,NA,NA
1021800021,05/27/2018,22018,20180527/PHOLAS,1611661320,Los Angeles,LAS,1611661317,Phoenix,PHO,Kurt Walker,101286,18,Isaac Barnett,203800,16,Toni Patillo,1628167,76,NA,NA,NA,John Goble,NA,NA,NA,NA,NA,NA,101284,NA,NA,NA,NA,NA,NA
1021800022,05/27/2018,22018,20180527/SEALVA,1611661319,Las Vegas,LVA,1611661328,Seattle,SEA,Roy Gulbeyan,100274,42,Daryl Humphrey,100276,8,Jenna Schroeder,1628170,78,NA,NA,NA,John Goble,NA,NA,NA,NA,NA,NA,101284,NA,NA,NA,NA,NA,NA
1021800027,05/31/2018,22018,20180531/LVASEA,1611661328,Seattle,SEA,1611661319,Las Vegas,LVA,Brenda Pantoja,203207,73,John Butler,1627517,35,Tom Mauer,100585,45,NA,NA,NA,Mike Callahan,NA,NA,NA,NA,NA,NA,1147,NA,NA,NA,NA,NA,NA
1021800034,06/03/2018,22018,20180603/CONWAS,1611661322,Washington,WAS,1611661323,Connecticut,CON,Mike Price,100308,39,Jeff Smith,100698,53,Karleena Tobin,1627545,6,NA,NA,NA,Scott Foster,NA,NA,NA,NA,NA,NA,1162,NA,NA,NA,NA,NA,NA
1021800036,06/03/2018,22018,20180603/LVACHI,1611661329,Chicago,CHI,1611661319,Las Vegas,LVA,Jeff Wooten,202060,23,Tiara Cruse,203440,19,Kevin Fahy,1627522,43,NA,NA,NA,Scott Foster,NA,NA,NA,NA,NA,NA,1162,NA,NA,NA,NA,NA,NA
1021800035,06/03/2018,22018,20180603/MINLAS,1611661320,Los Angeles,LAS,1611661324,Minnesota,MIN,Sue Blauch,100296,4,Tiffany Bird,203438,25,Natalie Sago,1627541,5,NA,NA,NA,Scott Foster,NA,NA,NA,NA,NA,NA,1162,NA,NA,NA,NA,NA,NA
1021800033,06/03/2018,22018,20180603/PHOATL,1611661330,Atlanta,ATL,1611661317,Phoenix,PHO,Byron Jarrett,202025,21,Tony Dawkins,101045,24,Toni Patillo,1628167,76,NA,NA,NA,Scott Foster,NA,NA,NA,NA,NA,NA,1162,NA,NA,NA,NA,NA,NA
1021800044,06/08/2018,22018,20180608/ATLLVA,1611661319,Las Vegas,LVA,1611661330,Atlanta,ATL,Eric Brewton,100697,55,Don Hudson,202023,57,Ashley Moyer-Gleich,1628163,75,NA,NA,NA,Zach Zarba,NA,NA,NA,NA,NA,NA,2534,NA,NA,NA,NA,NA,NA
1021800043,06/08/2018,22018,20180608/CHIPHO,1611661317,Phoenix,PHO,1611661329,Chicago,CHI,Kurt Walker,101286,18,Katie Lukanich,1627528,66,Billy Smith,202299,7,NA,NA,NA,Zach Zarba,NA,NA,NA,NA,NA,NA,2534,NA,NA,NA,NA,NA,NA
1021800042,06/08/2018,22018,20180608/DALIND,1611661325,Indiana,IND,1611661321,Dallas,DAL,Jeff Wooten,202060,23,John Butler,1627517,35,Tiara Cruse,203440,19,NA,NA,NA,Zach Zarba,NA,NA,NA,NA,NA,NA,2534,NA,NA,NA,NA,NA,NA
1011900001,05/09/2019,12019,20190509/CHNNYL,1611661313,New York,NYL,82,China National Team,CHN,Cheryl Flores,203054,13,Isaac Barnett,203800,16,Jenna Schroeder,1628954,78,NA,NA,NA,Tony Brothers,NA,NA,NA,NA,NA,NA,1146,NA,NA,NA,NA,NA,NA
1011900002,05/10/2019,12019,20190510/WASMIN,1611661324,Minnesota,MIN,1611661322,Washington,WAS,Tiffany Bird,203438,25,Tom Mauer,100585,45,Tony Dawkins,101045,24,NA,NA,NA,John Goble,NA,NA,NA,NA,NA,NA,101284,NA,NA,NA,NA,NA,NA
1011900007,05/14/2019,12019,20190514/DALCON,1611661323,Connecticut,CON,1611661321,Dallas,DAL,Billy Smith,202299,7,Jeff Smith,100698,53,Kevin Fahy,1628952,43,NA,NA,NA,Mike Callahan,NA,NA,NA,NA,NA,NA,1147,NA,NA,NA,NA,NA,NA
1011900008,05/14/2019,12019,20190514/INDCHI,1611661329,Chicago,CHI,1611661325,Indiana,IND,Jeff Wooten,202679,23,Daryl Humphrey,100276,8,Karleena Tobin,1627545,6,NA,NA,NA,Mike Callahan,NA,NA,NA,NA,NA,NA,1147,NA,NA,NA,NA,NA,NA
1011900006,05/14/2019,12019,20190514/NYLATL,1611661330,Atlanta,ATL,1611661313,New York,NYL,Tim Greene,202297,9,Fatou Cissoko-Stephens,203891,15,Toni Patillo,1628167,76,NA,NA,NA,Mike Callahan,NA,NA,NA,NA,NA,NA,1147,NA,NA,NA,NA,NA,NA
1011900009,05/15/2019,12019,20190515/PHOSEA,1611661328,Seattle,SEA,1611661317,Phoenix,PHO,Maj Forsberg,201538,34,Byron Jarrett,202025,21,John Butler,1628951,53,NA,NA,NA,Eric Lewis,NA,NA,NA,NA,NA,NA,2715,NA,NA,NA,NA,NA,NA
1011900010,05/16/2019,12019,20190516/CHIIND,1611661325,Indiana,IND,1611661329,Chicago,CHI,Tiara Cruse,203440,19,Karleena Tobin,1627545,6,Toni Patillo,1628167,76,NA,NA,NA,David Guthrie,NA,NA,NA,NA,NA,NA,2714,NA,NA,NA,NA,NA,NA
1011900012,05/17/2019,12019,20190517/SEALAS,1611661320,Los Angeles,LAS,1611661328,Seattle,SEA,Cheryl Flores,203054,13,Randy Richardson,1628702,11,Matt Kallio,1627526,17,NA,NA,NA,Kane Fitzgerald,NA,NA,NA,NA,NA,NA,201640,NA,NA,NA,NA,NA,NA
1011900011,05/17/2019,12019,20190517/WASATL,1611661330,Atlanta,ATL,1611661322,Washington,WAS,Tiffany Bird,203438,25,Kevin Sparrock,202047,50,Angelica Suffren,200667,86,NA,NA,NA,Kane Fitzgerald,NA,NA,NA,NA,NA,NA,201640,NA,NA,NA,NA,NA,NA
1011900015,05/19/2019,12019,20190519/INDDAL,1611661321,Dallas,DAL,1611661325,Indiana,IND,Janetta Graham,202678,44,Randy Richardson,1628702,11,Fatou Cissoko-Stephens,203891,15,NA,NA,NA,Josh Tiven,NA,NA,NA,NA,NA,NA,201639,NA,NA,NA,NA,NA,NA
1011900013,05/19/2019,12019,20190519/MINLVA,1611661319,Las Vegas,LVA,1611661324,Minnesota,MIN,Maj Forsberg,201538,34,Jenna Schroeder,1628954,78,Matt Kallio,1627526,17,NA,NA,NA,Josh Tiven,NA,NA,NA,NA,NA,NA,201639,NA,NA,NA,NA,NA,NA
1011900014,05/19/2019,12019,20190519/NYLCON,1611661323,Connecticut,CON,1611661313,New York,NYL,Byron Jarrett,202025,21,Tom Mauer,100585,45,Dannica Mosher,1628484,13,NA,NA,NA,Josh Tiven,NA,NA,NA,NA,NA,NA,201639,NA,NA,NA,NA,NA,NA
1021900005,05/25/2019,22019,20190525/CHIMIN,1611661324,Minnesota,MIN,1611661329,Chicago,CHI,Roy Gulbeyan,100274,42,Tom Mauer,100585,45,Katie Lukanich,1627528,66,NA,NA,NA,Zach Zarba,NA,NA,NA,NA,NA,NA,2534,NA,NA,NA,NA,NA,NA
1021900003,05/25/2019,22019,20190525/PHOSEA,1611661328,Seattle,SEA,1611661317,Phoenix,PHO,Maj Forsberg,201538,34,Cheryl Flores,203054,13,Janetta Graham,202678,44,NA,NA,NA,Zach Zarba,NA,NA,NA,NA,NA,NA,2534,NA,NA,NA,NA,NA,NA
1021900004,05/25/2019,22019,20190525/WASCON,1611661323,Connecticut,CON,1611661322,Washington,WAS,Eric Brewton,100697,55,Jeff Smith,100698,53,Karleena Tobin,1627545,6,NA,NA,NA,Zach Zarba,NA,NA,NA,NA,NA,NA,2534,NA,NA,NA,NA,NA,NA
1021900016,06/02/2019,22019,20190602/CONLVA,1611661319,Las Vegas,LVA,1611661323,Connecticut,CON,Billy Smith,202299,7,Tiffany Bird,203438,25,Angelica Suffren,200667,86,NA,NA,NA,Kane Fitzgerald,NA,NA,NA,NA,NA,NA,201640,NA,NA,NA,NA,NA,NA
