period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:53.0,Foul: Personal,Collin Sexton,Ben Simmons,CNC,Sexton (CLE) and Simmons (PHI) engage and disengage off-ball.,51.02041% Complete    02:11.3       To       01:46.0,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,01:50.9,Foul: Shooting,Ante Zizic,Joel Embiid,CNC,"Zizic (CLE) makes incidental ""high-five"" contact with Embiid (PHI) after the release that does not affect his jump shot attempt.",51.02041% Complete    02:11.3       To       01:46.0,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,01:49.3,Foul: Loose Ball,Cedi Osman,Ben Simmons,CNC,Osman (CLE) makes hand-on-ball contact to slightly dislodge the ball from Simmons (PHI) during the rebound.,51.02041% Complete    02:11.3       To       01:46.0,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,01:46.0,Foul: Loose Ball,Cedi Osman,Tobias Harris,CNC,Osman (CLE) engages with Harris (PHI) as they both make natural moves towards the rebound.,51.02041% Complete    02:11.3       To       01:46.0,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,01:46.0,Foul: Shooting,David Nwaba,Ben Simmons,CC,Nwaba (CLE) makes contact to Simmons' (PHI) arm during his shooting motion that affects his driving shot attempt.,51.02041% Complete    02:11.3       To       01:46.0,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,01:30.4,Foul: Offensive,Ante Zizic,Ben Simmons,CNC,Zizic (CLE) is firming up in legal position during the pick with Simmons (PHI) and does not deliver contact.,44.89796% Complete    01:46.0       To       01:23.7,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,01:28.0,Foul: Personal,Tobias Harris,Ante Zizic,CNC,"Harris (PHI) briefly brings an arm around Zizic (CLE), but quickly releases without affecting his FOM during the screen.",44.89796% Complete    01:46.0       To       01:23.7,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,01:26.9,Foul: Offensive,Ante Zizic,Tobias Harris,CNC,Zizic (CLE) is firming up in legal position during the pick with Harris (PHI) and does not deliver contact.,44.89796% Complete    01:46.0       To       01:23.7,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,01:24.8,Foul: Shooting,Joel Embiid,Jordan Clarkson,INC,MOB shows Embiid (PHI) is not in a legal guarding position and he makes contact to Clarkson's (CLE) lower body that affects his driving shot attempt.,44.89796% Complete    01:46.0       To       01:23.7,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,01:04.3,Foul: Loose Ball,Ben Simmons,Collin Sexton,CNC,Simmons (PHI) cleanly dislodges the ball during the rebound with Sexton (CLE).,61.22449% Complete    01:23.7       To       00:53.0,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,00:57.4,Foul: Personal,Jordan Clarkson,Joel Embiid,CNC,Clarkson (CLE) briefly engages with Embiid (PHI) in the high post.,61.22449% Complete    01:23.7       To       00:53.0,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,00:54.6,Foul: Shooting,Jordan Clarkson,Joel Embiid,CNC,"Clarkson (CLE) makes some contact to Embiid's (PHI) body, but he is able to move through it during his shot attempt near the rim.",61.22449% Complete    01:23.7       To       00:53.0,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,00:40.2,Turnover: 3 Second Violation,Jordan Clarkson,76ers,,[Detectable with a stop watch] Clarkson (CLE) is in the lane for longer than three seconds.,42.8571434% Complete    00:53.0       To       00:32.0,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,00:36.1,Foul: Shooting,Joel Embiid,Jordan Clarkson,CNC,LAR shows Embiid (PHI) makes contact to Clarkson's (CLE) body after the release that does not affect his driving shot attempt.,42.8571434% Complete    00:53.0       To       00:32.0,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,00:34.1,Foul: Loose Ball,Ante Zizic,Mike Scott,INC,RLB shows Zizic (CLE) extends his arm into Scott (PHI) during the rebound affecting his ability to retrieve the ball.,42.8571434% Complete    00:53.0       To       00:32.0,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,00:32.6,Foul: Shooting,Joel Embiid,Ante Zizic,CNC,Embiid (PHI) makes clean contact with the ball simultaneously as he makes marginal body contact during Zizic's (CLE) shot attempt.,42.8571434% Complete    00:53.0       To       00:32.0,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,00:29.5,Foul: Personal,Cedi Osman,Joel Embiid,CC,Osman (CLE) commits a take foul on Embiid (PHI).,4.08163261% Complete    00:32.0       To       00:29.5,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,00:27.3,Foul: Offensive,Jordan Clarkson,Tobias Harris,CNC,Clarkson (CLE) establishes and maintains legal position during the pick with Harris (PHI).,14.2857141% Complete    00:29.5       To       00:21.8,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,00:26.6,Foul: Offensive,Cedi Osman,Ben Simmons,INC,Simmons (PHI) beats Osman (CLE) to the spot and absorbs the contact as Osman extends his off-arm to dislodge him at the end of his drive.,14.2857141% Complete    00:29.5       To       00:21.8,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,00:19.8,Foul: Personal,Collin Sexton,Joel Embiid,CC,Sexton (CLE) commits a take foul on Embiid (PHI).,4.08163261% Complete    00:21.8       To       00:19.7,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
Q4,00:17.1,Foul: Shooting,Tobias Harris,Jordan Clarkson,CNC,Harris (PHI) maintains a legal guarding position during the jump shot attempt by Clarkson (CLE).,10.2040815% Complete    00:19.7       To       00:14.6,gameId=0021801008,Cavaliers(99) @ 76ers(106),"March 12, 2019",2021-03-29T00:05:34Z
