period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:50.0,Foul: Offensive,Isaiah Stewart,Austin Rivers,CNC,Stewart (DET) establishes himself in a legal screening position in the path of Rivers (DEN) and incidental contact occurs as the offensive player fights over the screen.,18.367348% Complete    01:55.2       To       01:45.6,gameId=0022100707,Pistons(111) @ Nuggets(117),"January 23, 2022",2022-01-24T20:00:16Z
Q4,01:47.0,Foul: Shooting,Austin Rivers,Cory Joseph,CNC,Rivers (DEN) contests the shot driving shot attempt by Joseph (DET) in the paint. Some marginal arm contact occurs to Joseph's off-arm after he had taken it off of the ball and the contact does not impact the attempt.,18.367348% Complete    01:55.2       To       01:45.6,gameId=0022100707,Pistons(111) @ Nuggets(117),"January 23, 2022",2022-01-24T20:00:16Z
Q4,01:31.4,Foul: Loose Ball,Nikola Jokic,Isaiah Stewart,INC,Jokic (DEN) extends his arm into Stewart (DET) and the contact affects his rebounding position.,32.65306% Complete    01:45.6       To       01:29.1,gameId=0022100707,Pistons(111) @ Nuggets(117),"January 23, 2022",2022-01-24T20:00:16Z
Q4,00:40.3,Foul: Personal,Saddiq Bey,Nikola Jokic,CC,Bey (DET) is not in a legal guarding position when contact occurs with Jokic (DEN) during his dribble up the floor. The contact impacts Jokic's SQBR.,8.163265% Complete    00:45.1       To       00:40.2,gameId=0022100707,Pistons(111) @ Nuggets(117),"January 23, 2022",2022-01-24T20:00:16Z
Q4,00:35.5,Foul: Offensive,Killian Hayes,Austin Rivers,CNC,Hayes (DET) establishes himself in a legal screening position in the path of Rivers (DEN) and shuffles his feet backwards as he absorbs the contact on the screen.,10.204082% Complete    00:40.2       To       00:35.2,gameId=0022100707,Pistons(111) @ Nuggets(117),"January 23, 2022",2022-01-24T20:00:16Z
Q4,00:34.8,Turnover: Stepped out of Bounds,Saddiq Bey,Nuggets,CC,Bey (DET) steps back with his left foot and his heel comes down out of bounds. Possession is correctly awarded to Denver.,10.204082% Complete    00:40.2       To       00:35.2,gameId=0022100707,Pistons(111) @ Nuggets(117),"January 23, 2022",2022-01-24T20:00:16Z
Q4,00:20.9,Foul: Offensive,Nikola Jokic,Killian Hayes,CNC,"Jokic (DEN) establishes himself in a legal screening position in the path of Hayes (DET) and grazing, incidental contact occurs to the latter when Jokic moves his arms as he turns on his roll to the basket.",34.69388% Complete    00:35.2       To       00:17.7,gameId=0022100707,Pistons(111) @ Nuggets(117),"January 23, 2022",2022-01-24T20:00:16Z
Q4,00:17.7,Foul: Shooting,Isaiah Stewart,Nikola Jokic,CC,Stewart (DET) jumps from point A to point B and makes contact with Jokic (DEN) that affects his driving shot attempt.,34.69388% Complete    00:35.2       To       00:17.7,gameId=0022100707,Pistons(111) @ Nuggets(117),"January 23, 2022",2022-01-24T20:00:16Z
Q4,00:13.2,Foul: Personal,Davon Reed,Trey Lyles,CC,"Reed (DEN) makes contact with Lyles (DET), who is in a legal screening position, and the contact dislodges Lyles from said legal position.",16.32653% Complete    00:17.7       To       00:08.8,gameId=0022100707,Pistons(111) @ Nuggets(117),"January 23, 2022",2022-01-24T20:00:16Z
Q4,00:08.8,Foul: Offensive,Cory Joseph,Austin Rivers,CC,Joseph (DET) is not established in a legal screening position when he delivers contact to the front shoulder of Rivers (DEN) and affects his ability to defend the play.,16.32653% Complete    00:17.7       To       00:08.8,gameId=0022100707,Pistons(111) @ Nuggets(117),"January 23, 2022",2022-01-24T20:00:16Z
Q4,00:04.5,Foul: Personal,Trey Lyles,Monte Morris,CC,Lyles (DET) commits a take foul on Morris (DEN).,8.163265% Complete    00:08.8       To       00:04.4,gameId=0022100707,Pistons(111) @ Nuggets(117),"January 23, 2022",2022-01-24T20:00:16Z
