period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:59.0,Foul: Personal,De'Aaron Fox,Reggie Jackson,CNC,Fox (SAC) makes marginal contact with Jackson (LAC) as he loses his balance in transition.,40.816326% Complete    02:01.1       To       01:41.0,gameId=0022100348%0d,Clippers(99) @ Kings(104),"December 04, 2021",2021-12-06T20:47:36Z
Q4,01:54.7,Foul: Shooting,Richaun Holmes,Reggie Jackson,CNC,Holmes (SAC) cleanly blocks the shot attempt by Jackson (LAC).,40.816326% Complete    02:01.1       To       01:41.0,gameId=0022100348%0d,Clippers(99) @ Kings(104),"December 04, 2021",2021-12-06T20:47:36Z
Q4,01:41.1,Foul: Personal,Richaun Holmes,Marcus Morris Sr.,CC,Holmes (SAC) moves forward into Morris Sr. (LAC) and initiates contact that affects his SQBR.,40.816326% Complete    02:01.1       To       01:41.0,gameId=0022100348%0d,Clippers(99) @ Kings(104),"December 04, 2021",2021-12-06T20:47:36Z
Q4,01:38.8,Foul: Personal,Paul George,Terence Davis,CC,George (LAC) makes contact to Davis's (SAC) arm that affects his control of the ball.,6.122449% Complete    01:41.0       To       01:38.0,gameId=0022100348%0d,Clippers(99) @ Kings(104),"December 04, 2021",2021-12-06T20:47:36Z
Q4,01:26.0,Foul: Shooting,Richaun Holmes,Paul George,CNC,Holmes (SAC) legally contests the jump shot attempt by George (LAC).,26.530613% Complete    01:38.0       To       01:24.3,gameId=0022100348%0d,Clippers(99) @ Kings(104),"December 04, 2021",2021-12-06T20:47:36Z
Q4,01:19.2,Foul: Personal,Marcus Morris Sr.,Richaun Holmes,CC,Morris Sr. (LAC) reaches in and makes contact to Holmes (SAC) that affects his SQBR.,10.204082% Complete    01:24.3       To       01:19.0,gameId=0022100348%0d,Clippers(99) @ Kings(104),"December 04, 2021",2021-12-06T20:47:36Z
Q4,01:02.4,Foul: Loose Ball,Davion Mitchell,Ivica Zubac,CC,Mitchell (SAC) backs into Zubac (LAC) and affects his ability to get to the rebound.,32.65306% Complete    01:19.0       To       01:02.3,gameId=0022100348%0d,Clippers(99) @ Kings(104),"December 04, 2021",2021-12-06T20:47:36Z
Q4,00:46.2,Foul: Shooting,Ivica Zubac,Tyrese Haliburton,CNC,Zubac (LAC) makes marginal contact with Haliburton (SAC) after the release that does not affect his driving shot attempt.,38.77551% Complete    01:02.3       To       00:43.3,gameId=0022100348%0d,Clippers(99) @ Kings(104),"December 04, 2021",2021-12-06T20:47:36Z
Q4,00:44.2,Foul: Shooting,Paul George,Richaun Holmes,CNC,George (LAC) gets his hand on the ball and then Zubac (LAC) cleanly blocks Holmes' (SAC) shot attempt.,38.77551% Complete    01:02.3       To       00:43.3,gameId=0022100348%0d,Clippers(99) @ Kings(104),"December 04, 2021",2021-12-06T20:47:36Z
Q4,00:32.2,Foul: Shooting,De'Aaron Fox,Reggie Jackson,CC,Fox (SAC) makes contact to Jackson's (LAC) arm that affects his SQBR during the driving shot attempt.,24.489796% Complete    00:43.3       To       00:30.7,gameId=0022100348%0d,Clippers(99) @ Kings(104),"December 04, 2021",2021-12-06T20:47:36Z
Q4,00:31.9,Foul: Loose Ball,Marcus Morris Sr.,De'Aaron Fox,CNC,Replay review of the foul called on Morris Sr. (LAC) pursuant to a coach's challenge is successful.  Morris Sr. makes marginal contact with Fox (SAC) during the rebounding sequence.,24.489796% Complete    00:43.3       To       00:30.7,gameId=0022100348%0d,Clippers(99) @ Kings(104),"December 04, 2021",2021-12-06T20:47:36Z
Q4,00:24.2,Foul: Personal Take,Reggie Jackson,De'Aaron Fox,CC,Jackson (LAC) commits a take foul on Fox (SAC).,12.244898% Complete    00:30.7       To       00:24.2,gameId=0022100348%0d,Clippers(99) @ Kings(104),"December 04, 2021",2021-12-06T20:47:36Z
Q4,00:07.9,Foul: Personal Take,Reggie Jackson,Buddy Hield,CC,Jackson (LAC) commits a take foul on Hield (SAC).,4.0816326% Complete    00:10.3       To       00:07.9,gameId=0022100348%0d,Clippers(99) @ Kings(104),"December 04, 2021",2021-12-06T20:47:36Z
Q4,00:03.6,Foul: Shooting,Buddy Hield,Marcus Morris Sr.,CNC,Morris Sr. (LAC) extends his leg into Hield (SAC) and creates the marginal contact during his jump shot attempt.,12.244898% Complete    00:07.9       To       00:01.0,gameId=0022100348%0d,Clippers(99) @ Kings(104),"December 04, 2021",2021-12-06T20:47:36Z
