period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:55.0,Foul: Shooting,Al Horford,Lance Stephenson,CC,Horford (BOS) makes contact with Stephenson's (IND) arm that affects his driving shot attempt.,24.489796% Complete    02:07.1       To       01:55.0,gameId=0022101153,Pacers(123) @ Celtics(128),"April 01, 2022",2022-04-04T02:48:38Z
Q4,01:26.0,Foul: Shooting,Celtics,Pacers,CNC,Tatum (BOS) legally contests the jump shot attempt by Brissett (IND).,30.612246% Complete    01:41.1       To       01:26.0,gameId=0022101153,Pacers(123) @ Celtics(128),"April 01, 2022",2022-04-04T02:48:38Z
Q4,01:04.0,Foul: Shooting,Jaylen Brown,Pacers,CC,"Brown (BOS) initiates body contact with Brissett (IND) that affects his driving shot attempt.  After communicating with the Replay Center, the ruling on the floor of a common foul is confirmed.",24.489796% Complete    01:13.1       To       01:01.0,gameId=0022101153,Pacers(123) @ Celtics(128),"April 01, 2022",2022-04-04T02:48:38Z
Q4,00:51.0,Foul: Personal,Goga Bitadze,Al Horford,CNC,Bitadze (IND) briefly places an arm around Horford's (BOS) opposite-side hip but quickly corrects.,42.857143% Complete    01:01.1       To       00:39.8,gameId=0022101153,Pacers(123) @ Celtics(128),"April 01, 2022",2022-04-04T02:48:38Z
Q4,00:46.6,Turnover: Traveling,Derrick White,Pacers,CNC,White (BOS) bobbles the ball during his drive to the basket and maintains his pivot foot upon regaining possession.,42.857143% Complete    01:01.1       To       00:39.8,gameId=0022101153,Pacers(123) @ Celtics(128),"April 01, 2022",2022-04-04T02:48:38Z
Q4,00:35.0,Foul: Shooting,Celtics,Pacers,CNC,Smart (BOS) legally contests Brissett's (IND) jump shot attempt by jumping to his side.,8.163265% Complete    00:39.9       To       00:35.0,gameId=0022101153,Pacers(123) @ Celtics(128),"April 01, 2022",2022-04-04T02:48:38Z
Q4,00:14.4,Foul: Shooting,Duane Washington Jr.,Derrick White,CNC,Washington Jr. (IND) absorbs the incidental contact created by White (BOS) during his driving shot attempt.,40.816326% Complete    00:35.1       To       00:14.4,gameId=0022101153,Pacers(123) @ Celtics(128),"April 01, 2022",2022-04-04T02:48:38Z
Q4,00:06.7,Foul: Shooting,Celtics,Pacers,CNC,Tatum (BOS) legally contests the jump shot attempt by Brissett (IND).,22.44898% Complete    00:14.5       To       00:03.2,gameId=0022101153,Pacers(123) @ Celtics(128),"April 01, 2022",2022-04-04T02:48:38Z
