period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:43.4,Foul: Offensive,Rudy Gobert,Buddy Hield,CNC,Gobert (UTA) establishes himself in a screening position in Hield's (SAC) path and absorbs the contact on the pick.,44.89796% Complete    02:00.5       To       01:37.9,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,01:39.5,Foul: Shooting,Richaun Holmes,Mike Conley,CNC,Holmes (SAC) has a resting forearm on Conley's (UTA) side and he does not extend or deliver any contact with it during the driving shot attempt.,44.89796% Complete    02:00.5       To       01:37.9,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,01:31.7,Foul: Offensive,Richaun Holmes,Mike Conley,CNC,Holmes (SAC) establishes himself in a screening position in Conley's (UTA) path and absorbs the contact on the pick.,20.408163% Complete    01:37.9       To       01:27.5,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,01:27.5,Foul: Loose Ball,Royce O'Neale,Harrison Barnes,CNC,O'Neale (UTA) and Barnes (SAC) come together and incidental body contact occurs during the rebound.,20.408163% Complete    01:37.9       To       01:27.5,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,01:27.5,Foul: Loose Ball,Richaun Holmes,Rudy Gobert,CNC,"Holmes (SAC) reaches for the ball and marginal contact occurs with Gobert's (UTA) arm, which does not affect his ability to secure the rebound and maintain control of the ball.",20.408163% Complete    01:37.9       To       01:27.5,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,01:06.8,Foul: Shooting,Richaun Holmes,Donovan Mitchell,CNC,Holmes (SAC) maintains a legal guarding position during the driving shot attempt by Mitchell (UTA).,44.89796% Complete    01:27.5       To       01:05.0,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,01:05.0,Foul: Shooting,De'Aaron Fox,Rudy Gobert,CC,"Fox (SAC) makes contact with Gobert's (UTA) arm, which affects his shot near the rim.",44.89796% Complete    01:27.5       To       01:05.0,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,00:56.6,Foul: Shooting,Rudy Gobert,De'Aaron Fox,CC,Gobert (UTA) is drawn into the air and makes contact with Fox's (SAC) body which affects his shot near the rim.,16.32653% Complete    01:05.0       To       00:56.5,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,00:42,Foul: Offensive,Mike Conley,Richaun Holmes,CNC,"Conley (UTA) disengages from Holmes (SAC) on the perimeter and marginal arm contact occurs, which does not affect his ability to defend.",32.65306% Complete    00:56.5       To       00:39.9,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,00:38.7,Foul: Loose Ball,Mike Conley,Davion Mitchell,CNC,"After the pass is cleanly deflected, Conley (UTA) and Mitchell (SAC) both pursue the loose ball and incidental body contact occurs as the reach for the ball.",32.65306% Complete    00:56.5       To       00:39.9,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,00:34.9,Foul: Shooting,Donovan Mitchell,De'Aaron Fox,CC,"Mitchell (UTA) makes contact with Fox's (SAC) arm, which affects his shot near the rim.",10.204082% Complete    00:39.9       To       00:34.9,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,00:34,Foul: Personal,Tyrese Haliburton,Mike Conley,CNC,"Haliburton (SAC) jumps straight up and marginal contact occurs to Conley's (UTA) shoulder, which does not affect his ability to make his intended pass.",10.204082% Complete    00:34.9       To       00:29.8,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,00:29.7,Turnover: Stepped out of Bounds,Royce O'Neale,Harrison Barnes,CC,O'Neale (UTA) steps on the sideline out of bounds as he dribbles the ball up the court.,10.204082% Complete    00:34.9       To       00:29.8,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,00:25.1,Foul: Offensive,Richaun Holmes,Bojan Bogdanovic,CNC,Holmes (SAC) establishes himself in Bogdanovic's (UTA) path and marginal contact occurs as he slightly extends his arms out on the screen.,14.285714% Complete    00:29.8       To       00:22.5,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,00:14.6,Foul: Personal,De'Aaron Fox,Donovan Mitchell,CC,"Fox (SAC) moves into and makes contact with Mitchell's (UTA) body, which affects his SQBR.",16.32653% Complete    00:22.5       To       00:14.5,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,00:10.8,Foul: Shooting,Rudy Gobert,Harrison Barnes,CNC,Gobert (UTA) maintains a legal guarding position during the play at the basket by Barnes (SAC).,10.204082% Complete    00:14.5       To       00:08.7,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,00:08.7,Foul: Loose Ball,Buddy Hield,Royce O'Neale,CNC,Hield (SAC) and O'Neale (UTA) engage and disengage while reaching for the rebound.,10.204082% Complete    00:14.5       To       00:08.7,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,00:07.8,Foul: Personal,Buddy Hield,Rudy Gobert,CC,"Hield (SAC) makes contact with Gobert's (UTA) arm, which affects his SQBR.",1% Complete    00:08.7       To       00:07.8,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,00:02.5,Foul: Shooting,Rudy Gobert,Davion Mitchell,CNC,"Gobert (UTA) momentarily places a resting hand on Mitchell's (SAC) shoulder and marginal contact occurs as he removes it, before cleanly blocking the driving shot attempt.",12.244898% Complete    00:07.8       To       00:01.5,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,00:00.4,Foul: Personal,Buddy Hield,Rudy Gobert,CC,Hield (SAC) commits a take foul on Gobert (UTA).,2.0408163% Complete    00:01.5       To       00:00.4,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,00:00.4,Foul: Technical,Buddy Hield,Jazz,CC,All Technical Fouls are reviewed by League Operations.,2.0408163% Complete    00:01.5       To       00:00.4,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
Q4,00:00.4,Foul: Technical,Buddy Hield,Jazz,CC,All Technical Fouls are reviewed by League Operations.,2.0408163% Complete    00:01.5       To       00:00.4,gameId=0022100105,Kings(113) @ Jazz(119),"November 02, 2021",2021-11-03T18:22:49Z
