period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:58.4,Turnover: Discontinue Dribble,LaMelo Ball,Timberwolves,CNC,Ball (CHA) takes legal dribbles as he drives toward and away from the basket.,46.938774% Complete    02:02.8       To       01:39.5,gameId=0022100871,Hornets(120) @ Timberwolves(126),"February 15, 2022",2022-02-17T00:04:36Z
Q4,01:46.6,Foul: Personal,Jaden McDaniels,Terry Rozier,CNC,McDaniels (MIN) moves alongside of Rozier's (CHA) path to the basket and marginal body contact occurs that does not affect his SQBR.,46.938774% Complete    02:02.8       To       01:39.5,gameId=0022100871,Hornets(120) @ Timberwolves(126),"February 15, 2022",2022-02-17T00:04:36Z
Q4,01:40.1,Foul: Shooting,Jaden McDaniels,Montrezl Harrell,INC,McDaniels (MIN) makes contact to Harrell's (CHA) right arm and affects his putback shot attempt.,46.938774% Complete    02:02.8       To       01:39.5,gameId=0022100871,Hornets(120) @ Timberwolves(126),"February 15, 2022",2022-02-17T00:04:36Z
Q4,01:32.0,Foul: Shooting,Mason Plumlee,Karl-Anthony Towns,CNC,"Plumlee (CHA) legally contests Towns' (MIN) jump shot attempt.  Any ""high-five"" contact after the release is considered incidental.",18.367348% Complete    01:39.5       To       01:30.0,gameId=0022100871,Hornets(120) @ Timberwolves(126),"February 15, 2022",2022-02-17T00:04:36Z
Q4,01:27.6,Foul: Offensive,LaMelo Ball,Karl-Anthony Towns,CNC,"Ball (CHA) establishes himself in a screening position in the path of Towns (MIN) and as he leans forward, marginal contact occurs as the two players engage.",36.734695% Complete    01:30.0       To       01:12.0,gameId=0022100871,Hornets(120) @ Timberwolves(126),"February 15, 2022",2022-02-17T00:04:36Z
Q4,01:18.8,Foul: Personal,Karl-Anthony Towns,Montrezl Harrell,CNC,Towns (MIN) makes marginal body contact with Harrell (CHA) during his drive to the basket.,36.734695% Complete    01:30.0       To       01:12.0,gameId=0022100871,Hornets(120) @ Timberwolves(126),"February 15, 2022",2022-02-17T00:04:36Z
Q4,01:12.0,Turnover:  Out of Bounds - Bad Pass Turn,Montrezl Harrell,Patrick Beverley,CC,The pass from Harrell (CHA) is last touched by Bridges (CHA) before going out of bounds.,36.734695% Complete    01:30.0       To       01:12.0,gameId=0022100871,Hornets(120) @ Timberwolves(126),"February 15, 2022",2022-02-17T00:04:36Z
Q4,00:36.9,Foul: Personal,Miles Bridges,Karl-Anthony Towns,CNC,"Bridges (CHA) briefly has two hands placed on Towns (MIN) on the perimeter as both players remain stationary.  As Towns begins to move, Bridges disengages and the contact does not affect his FOM.",38.77551% Complete    00:48.7       To       00:28.8,gameId=0022100871,Hornets(120) @ Timberwolves(126),"February 15, 2022",2022-02-17T00:04:36Z
Q4,00:31.2,Foul: Shooting,P.J. Washington,D'Angelo Russell,CNC,Washington (CHA) makes incidental contact with Russell's (MIN) arm after the release that does not affect his jump shot attempt.,38.77551% Complete    00:48.7       To       00:28.8,gameId=0022100871,Hornets(120) @ Timberwolves(126),"February 15, 2022",2022-02-17T00:04:36Z
Q4,00:15.7,Turnover: Traveling,Miles Bridges,Timberwolves,INC,Bridges (CHA) moves his pivot foot heel-to-toe and then lifts and re-plants it before releasing his dribble.,38.77551% Complete    00:28.8       To       00:09.0,gameId=0022100871,Hornets(120) @ Timberwolves(126),"February 15, 2022",2022-02-17T00:04:36Z
