period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:59.7,Foul: Shooting,Jaylen Brown,Kyrie Irving,CNC,Brown (BOS) makes incidental contact with Irving's (BKN) hand after the release of his driving shot attempt.,14.285714% Complete    02:06.0       To       01:58.4,gameId=0042100114,Celtics(116) @ Nets(112),"April 25, 2022",2022-04-26T21:40:14Z
Q4,01:46.3,Foul: Personal,Blake Griffin,Al Horford,CNC,"As Horford (BOS) is going to set the screen, Griffin (BKN) briefly holds his arm but the contact is marginal and does not affect his positioning.",28.571428% Complete    01:58.4       To       01:44.4,gameId=0042100114,Celtics(116) @ Nets(112),"April 25, 2022",2022-04-26T21:40:14Z
Q4,01:42.7,Foul: Personal,Jaylen Brown,Kevin Durant,CC,Brown (BOS) moves laterally into Durant's (BKN) path and delivers contact as he is dribbling up the floor.,30.612246% Complete    01:44.4       To       01:28.8,gameId=0042100114,Celtics(116) @ Nets(112),"April 25, 2022",2022-04-26T21:40:14Z
Q4,01:36.4,Foul: Personal,Grant Williams,Kevin Durant,CNC,Williams (BOS) moves alongside Durant's (BKN) path and marginal contact occurs during Durant's drive toward the rim.,30.612246% Complete    01:44.4       To       01:28.8,gameId=0042100114,Celtics(116) @ Nets(112),"April 25, 2022",2022-04-26T21:40:14Z
Q4,01:16.5,Foul: Personal,Goran Dragic,Al Horford,CNC,Dragic (BKN) briefly holds Horford's (BOS) jersey as he is going to set the screen and the contact is marginal.,51.02041% Complete    01:28.8       To       01:02.9,gameId=0042100114,Celtics(116) @ Nets(112),"April 25, 2022",2022-04-26T21:40:14Z
Q4,01:15.6,Foul: Personal,Blake Griffin,Marcus Smart,CC,Griffin (BKN) moves into Smart's (BOS) path and initiates contact that affects his SQBR.,51.02041% Complete    01:28.8       To       01:02.9,gameId=0042100114,Celtics(116) @ Nets(112),"April 25, 2022",2022-04-26T21:40:14Z
Q4,01:07.6,Foul: Personal,Kevin Durant,Jaylen Brown,CNC,"As Brown (BOS) loses control of the ball, Durant (BKN) reaches in and makes marginal contact with his arm but he is able to regain possession.",51.02041% Complete    01:28.8       To       01:02.9,gameId=0042100114,Celtics(116) @ Nets(112),"April 25, 2022",2022-04-26T21:40:14Z
Q4,00:33.2,Foul: Shooting,Kyrie Irving,Marcus Smart,CNC,Irving (BKN) cleanly dislodges the ball from Smart (BOS) during the shot attempt.,53.061226% Complete    00:53.9       To       00:27.7,gameId=0042100114,Celtics(116) @ Nets(112),"April 25, 2022",2022-04-26T21:40:14Z
Q4,00:27.7,Foul: Loose Ball,Marcus Smart,Goran Dragic,CNC,Smart (BOS) and Dragic (BKN) mutually engage and disengage during the rebound.,53.061226% Complete    00:53.9       To       00:27.7,gameId=0042100114,Celtics(116) @ Nets(112),"April 25, 2022",2022-04-26T21:40:14Z
Q4,00:22.2,Foul: Personal,Marcus Smart,Kevin Durant,CC,"Smart (BOS) cleanly deflects the ball away from Durant (BKN), but as he dives for the loose ball, he initiates contact to Durant's legs that affect his SQBR.",10.204082% Complete    00:27.7       To       00:22.2,gameId=0042100114,Celtics(116) @ Nets(112),"April 25, 2022",2022-04-26T21:40:14Z
Q4,00:15.8,Foul: Shooting,Blake Griffin,Marcus Smart,CNC,Griffin (BKN) makes marginal contact with Smart (BOS) while contesting the shot attempt.,16.32653% Complete    00:22.2       To       00:13.6,gameId=0042100114,Celtics(116) @ Nets(112),"April 25, 2022",2022-04-26T21:40:14Z
Q4,00:07.1,Foul: Personal Take,Patty Mills,Marcus Smart,CC,Mills (BKN) commits a take foul on Smart (BOS).,2.0408163% Complete    00:08.8       To       00:07.0,gameId=0042100114,Celtics(116) @ Nets(112),"April 25, 2022",2022-04-26T21:40:14Z
Q4,00:02.1,Foul: Personal Take,Goran Dragic,Marcus Smart,CC,Dragic (BKN) commits a take foul on Smart (BOS).,1% Complete    00:02.8       To       00:02.1,gameId=0042100114,Celtics(116) @ Nets(112),"April 25, 2022",2022-04-26T21:40:14Z
