date,weekday,month,day,year,season,away,home,oppoenent,time_est,networks,network_1,network_2,network_3,date_old,preseason
11/13/2001,Tue,11,13,2001,2002,TOR ,SAC,Toronto @ Sacramento,8:00 PM,TBS TSN,TBS,TSN,,Tue Nov 13,0
11/14/2001,Wed,11,14,2001,2002,ORL ,PHO,Orlando @ Phoenix,8:00 PM,TNT,TNT,,,Wed Nov 14,0
11/15/2001,Thu,11,15,2001,2002,LAL ,HOU,L.A. Lakers @ Houston,9:00 PM,TNT,TNT,,,Thu Nov 15,0
11/20/2001,Tue,11,20,2001,2002,NOP ,WAS,Charlotte @ Washington,8:00 PM,TBS,TBS,,,Tue Nov 20,0
11/22/2001,Thu,11,22,2001,2002,WAS ,IND,Washington @ Indiana,8:00 PM,TNT,TNT,,,Thu Nov 22,0
11/22/2001,Thu,11,22,2001,2002,MIL ,TOR,Milwaukee @ Toronto,8:00 PM,TSN,TSN,,,Thu Nov 22,0
11/25/2001,Sun,11,25,2001,2002,PHI ,TOR,Philadelphia @ Toronto,12:30 PM,CTV,CTV,,,Sun Nov 25,0
11/27/2001,Tue,11,27,2001,2002,SAC ,HOU,Sacramento @ Houston,8:00 PM,TBS,TBS,,,Tue Nov 27,0
11/27/2001,Tue,11,27,2001,2002,MIL ,LAL,Milwaukee @ L.A. Lakers,10:30 PM,TBS,TBS,,,Tue Nov 27,0
11/28/2001,Wed,11,28,2001,2002,WAS ,PHI,Washington @ Philadelphia,8:00 PM,TNT TSN,TNT,TSN,,Wed Nov 28,0
12/1/2001,Sat,12,1,2001,2002,ORL ,WAS,Orlando @ Washington,6:30 PM,NBC,NBC,,,Sat Dec 1,0
12/2/2001,Sun,12,2,2001,2002,BOS ,TOR,Boston @ Toronto,3:00 PM,CTV,CTV,,,Sun Dec 2,0
12/4/2001,Tue,12,4,2001,2002,PHI ,SAC,Philadelphia @ Sacramento,8:00 PM,TBS,TBS,,,Tue Dec 4,0
12/5/2001,Wed,12,5,2001,2002,PHO ,BRK,Phoenix @ New Jersey,8:00 PM,TNT,TNT,,,Wed Dec 5,0
12/6/2001,Thu,12,6,2001,2002,TOR ,MIL,Toronto @ Milwaukee,9:00 PM,TNT,TNT,,,Thu Dec 6,0
12/9/2001,Sun,12,9,2001,2002,PHO ,TOR,Phoenix @ Toronto,3:00 PM,CTV,CTV,,,Sun Dec 9,0
12/11/2001,Tue,12,11,2001,2002,PHI ,ATL,Philadelphia @ Atlanta,8:00 PM,TBS,TBS,,,Tue Dec 11,0
12/13/2001,Thu,12,13,2001,2002,ORL ,GSW,Orlando @ Golden State,9:00 PM,TNT,TNT,,,Thu Dec 13,0
12/16/2001,Sun,12,16,2001,2002,WAS ,TOR,Washington @ Toronto,3:00 PM,CTV,CTV,,,Sun Dec 16,0
12/18/2001,Tue,12,18,2001,2002,LAC ,PHO,L.A. Clippers @ Phoenix,8:00 PM,TBS,TBS,,,Tue Dec 18,0
12/19/2001,Wed,12,19,2001,2002,TOR ,IND,Toronto @ Indiana,8:00 PM,TNT,TNT,,,Wed Dec 19,0
12/20/2001,Thu,12,20,2001,2002,LAL ,HOU,L.A. Lakers @ Houston,9:00 PM,TNT TSN,TNT,TSN,,Thu Dec 20,0
12/23/2001,Sun,12,23,2001,2002,MIA ,TOR,Miami @ Toronto,3:00 PM,CTV,CTV,,,Sun Dec 23,0
12/25/2001,Tue,12,25,2001,2002,TOR ,NYK,Toronto @ New York,6:00 PM,NBC CTV,NBC,CTV,,Tue Dec 25,0
12/25/2001,Tue,12,25,2001,2002,PHI ,LAL,Philadelphia @ L.A. Lakers,8:30 PM,NBC,NBC,,,Tue Dec 25,0
12/26/2001,Wed,12,26,2001,2002,IND ,ORL,Indiana @ Orlando,8:00 PM,TNT TSN,TNT,TSN,,Wed Dec 26,0
12/27/2001,Thu,12,27,2001,2002,UTA ,POR,Utah @ Portland,9:00 PM,TNT TSN,TNT,TSN,,Thu Dec 27,0
12/28/2001,Fri,12,28,2001,2002,TOR ,LAL,Toronto @ L.A. Lakers,10:30 PM,TSN,TSN,,,Fri Dec 28,0
1/6/2002,Sun,1,6,2002,2002,LAL ,TOR,L.A. Lakers @ Toronto,3:00 PM,CTV,CTV,,,Sun Jan 6,0
1/8/2002,Tue,1,8,2002,2002,LAL ,DET,L.A. Lakers @ Detroit,8:00 PM,TBS,TBS,,,Tue Jan 8,0
1/9/2002,Wed,1,9,2002,2002,ORL ,PHI,Orlando @ Philadelphia,8:00 PM,TNT,TNT,,,Wed Jan 9,0
1/10/2002,Thu,1,10,2002,2002,NYK ,DAL,New York @ Dallas,9:00 PM,TNT,TNT,,,Thu Jan 10,0
1/13/2002,Sun,1,13,2002,2002,LAC ,TOR,L.A. Clippers @ Toronto,3:00 PM,CTV,CTV,,,Sun Jan 13,0
1/15/2002,Tue,1,15,2002,2002,HOU ,PHI,Houston @ Philadelphia,8:00 PM,TBS,TBS,,,Tue Jan 15,0
1/16/2002,Wed,1,16,2002,2002,SAC ,DEN,Sacramento @ Denver,8:00 PM,TNT,TNT,,,Wed Jan 16,0
1/16/2002,Wed,1,16,2002,2002,MIA ,LAL,Miami @ L.A. Lakers,10:30 PM,TNT TSN,TNT,TSN,,Wed Jan 16,0
1/17/2002,Thu,1,17,2002,2002,UTA ,SAS,Utah @ San Antonio,9:00 PM,TNT,TNT,,,Thu Jan 17,0
1/19/2002,Sat,1,19,2002,2002,LAL ,SAS,L.A. Lakers @ San Antonio,1:00 PM,NBC,NBC,,,Sat Jan 19,0
1/19/2002,Sat,1,19,2002,2002,WAS ,CHI,Washington @ Chicago,3:30 PM,NBC CTV,NBC,CTV,,Sat Jan 19,0
1/19/2002,Sat,1,19,2002,2002,NYK ,PHI,New York @ Philadelphia,7:00 PM,CTV,CTV,,,Sat Jan 19,0
1/22/2002,Tue,1,22,2002,2002,PHO ,MIL,Phoenix @ Milwaukee,8:00 PM,TBS,TBS,,,Tue Jan 22,0
1/22/2002,Tue,1,22,2002,2002,SAC ,POR,Sacramento @ Portland,10:30 PM,TBS,TBS,,,Tue Jan 22,0
1/23/2002,Wed,1,23,2002,2002,NYK ,TOR,New York @ Toronto,8:00 PM,TNT TSN,TNT,TSN,,Wed Jan 23,0
1/23/2002,Wed,1,23,2002,2002,LAL ,LAC,L.A. Lakers @ L.A. Clippers,10:30 PM,TNT TSN,TNT,TSN,,Wed Jan 23,0
1/24/2002,Thu,1,24,2002,2002,UTA ,SAC,Utah @ Sacramento,9:00 PM,TNT TSN,TNT,TSN,,Thu Jan 24,0
1/26/2002,Sat,1,26,2002,2002,NYK ,MIL,New York @ Milwaukee,3:00 PM,NBC,NBC,,,Sat Jan 26,0
1/26/2002,Sat,1,26,2002,2002,SAC ,UTA,Sacramento @ Utah,5:30 PM,NBC,NBC,,,Sat Jan 26,0
1/27/2002,Sun,1,27,2002,2002,LAL ,PHI,L.A. Lakers @ Philadelphia,12:00 PM,NBC,NBC,,,Sun Jan 27,0
1/27/2002,Sun,1,27,2002,2002,ORL ,TOR,Orlando @ Toronto,2:30 PM,CTV,CTV,,,Sun Jan 27,0
1/29/2002,Tue,1,29,2002,2002,LAC ,DAL,L.A. Clippers @ Dallas,8:00 PM,TBS,TBS,,,Tue Jan 29,0
1/30/2002,Wed,1,30,2002,2002,LAL ,ORL,L.A. Lakers @ Orlando,8:00 PM,TNT,TNT,,,Wed Jan 30,0
1/31/2002,Thu,1,31,2002,2002,HOU ,DAL,Houston @ Dallas,9:00 PM,TNT TSN,TNT,TSN,,Thu Jan 31,0
2/2/2002,Sat,2,2,2002,2002,POR ,UTA,Portland @ Utah,3:00 PM,NBC,NBC,,,Sat Feb 2,0
2/2/2002,Sat,2,2,2002,2002,PHI ,MIL,Philadelphia @ Milwaukee,5:30 PM,NBC,NBC,,,Sat Feb 2,0
2/3/2002,Sun,2,3,2002,2002,MIA ,NYK,Miami @ New York,12:00 PM,NBC CTV,NBC,CTV,,Sun Feb 3,0
2/3/2002,Sun,2,3,2002,2002,SAS ,ORL,San Antonio @ Orlando,12:00 PM,NBC CTV,NBC,CTV,,Sun Feb 3,0
2/3/2002,Sun,2,3,2002,2002,SAC ,MIN,Sacramento @ Minnesota,2:30 PM,NBC,NBC,,,Sun Feb 3,0
2/3/2002,Sun,2,3,2002,2002,LAL ,DAL,L.A. Lakers @ Dallas,2:30 PM,NBC,NBC,,,Sun Feb 3,0
2/5/2002,Tue,2,5,2002,2002,DAL ,IND,Dallas @ Indiana,8:00 PM,TBS,TBS,,,Tue Feb 5,0
2/6/2002,Wed,2,6,2002,2002,POR ,MIN,Portland @ Minnesota,8:00 PM,TNT TSN,TNT,TSN,,Wed Feb 6,0
2/7/2002,Thu,2,7,2002,2002,SAS ,TOR,San Antonio @ Toronto,8:00 PM,TNT,TNT,,,Thu Feb 7,0
2/12/2002,Tue,2,12,2002,2002,NYK ,ORL,New York @ Orlando,8:00 PM,TBS,TBS,,,Tue Feb 12,0
2/12/2002,Tue,2,12,2002,2002,SAS ,SAC,San Antonio @ Sacramento,10:30 PM,TBS,TBS,,,Tue Feb 12,0
2/13/2002,Wed,2,13,2002,2002,PHO ,MIN,Phoenix @ Minnesota,8:00 PM,TNT,TNT,,,Wed Feb 13,0
2/14/2002,Thu,2,14,2002,2002,UTA ,PHI,Utah @ Philadelphia,8:00 PM,TNT,TNT,,,Thu Feb 14,0
2/17/2002,Sun,2,17,2002,2002,MIL ,TOR,Milwaukee @ Toronto,2:00 PM,CTV,CTV,,,Sun Feb 17,0
2/17/2002,Sun,2,17,2002,2002,LAL ,POR,L.A. Lakers @ Portland,4:30 PM,NBC,NBC,,,Sun Feb 17,0
2/19/2002,Tue,2,19,2002,2002,MIN ,DAL,Minnesota @ Dallas,8:00 PM,TBS,TBS,,,Tue Feb 19,0
2/20/2002,Wed,2,20,2002,2002,NOP ,TOR,Charlotte @ Toronto,8:00 PM,TNT,TNT,,,Wed Feb 20,0
2/21/2002,Thu,2,21,2002,2002,SAC ,SAS,Sacramento @ San Antonio,9:00 PM,TNT,TNT,,,Thu Feb 21,0
2/23/2002,Sat,2,23,2002,2002,PHI ,ORL,Philadelphia @ Orlando,5:30 PM,NBC,NBC,,,Sat Feb 23,0
2/23/2002,Sat,2,23,2002,2002,SAC ,DAL,Sacramento @ Dallas,5:30 PM,NBC,NBC,,,Sat Feb 23,0
2/24/2002,Sun,2,24,2002,2002,LAL ,NYK,L.A. Lakers @ New York,12:00 PM,NBC CTV,NBC,CTV,,Sun Feb 24,0
2/26/2002,Tue,2,26,2002,2002,LAL ,MIL,L.A. Lakers @ Milwaukee,8:00 PM,TBS,TBS,,,Tue Feb 26,0
2/26/2002,Tue,2,26,2002,2002,UTA ,SAC,Utah @ Sacramento,10:30 PM,TBS TSN,TBS,TSN,,Tue Feb 26,0
2/27/2002,Wed,2,27,2002,2002,ORL ,TOR,Orlando @ Toronto,8:00 PM,TNT,TNT,,,Wed Feb 27,0
2/28/2002,Thu,2,28,2002,2002,NYK ,MIA,New York @ Miami,8:00 PM,TNT,TNT,,,Thu Feb 28,0
3/3/2002,Sun,3,3,2002,2002,SAS ,NYK,San Antonio @ New York,12:30 PM,NBC CTV,NBC,CTV,,Sun Mar 3,0
3/3/2002,Sun,3,3,2002,2002,PHI ,TOR,Philadelphia @ Toronto,6:00 PM,NBC,NBC,,,Sun Mar 3,0
3/3/2002,Sun,3,3,2002,2002,IND ,SAC,Indiana @ Sacramento,6:00 PM,NBC,NBC,,,Sun Mar 3,0
3/5/2002,Tue,3,5,2002,2002,ORL ,IND,Orlando @ Indiana,8:00 PM,TBS TSN,TBS,TSN,,Tue Mar 5,0
3/6/2002,Wed,3,6,2002,2002,LAL ,UTA,L.A. Lakers @ Utah,8:00 PM,TNT TSN,TNT,TSN,,Wed Mar 6,0
3/7/2002,Thu,3,7,2002,2002,TOR ,DAL,Toronto @ Dallas,9:00 PM,TNT TSN,TNT,TSN,,Thu Mar 7,0
3/10/2002,Sun,3,10,2002,2002,TOR ,ORL,Toronto @ Orlando,12:30 PM,NBC CTV,NBC,CTV,,Sun Mar 10,0
3/10/2002,Sun,3,10,2002,2002,NYK ,LAL,New York @ L.A. Lakers,6:00 PM,NBC,NBC,,,Sun Mar 10,0
3/12/2002,Tue,3,12,2002,2002,PHO ,MIA,Phoenix @ Miami,8:00 PM,TBS,TBS,,,Tue Mar 12,0
3/12/2002,Tue,3,12,2002,2002,NOP ,LAL,Charlotte @ L.A. Lakers,10:30 PM,TBS,TBS,,,Tue Mar 12,0
3/13/2002,Wed,3,13,2002,2002,SAC ,PHI,Sacramento @ Philadelphia,8:00 PM,TNT,TNT,,,Wed Mar 13,0
3/17/2002,Sun,3,17,2002,2002,ORL ,PHI,Orlando @ Philadelphia,12:00 PM,NBC CTV,NBC,CTV,,Sun Mar 17,0
3/19/2002,Tue,3,19,2002,2002,MIL ,ORL,Milwaukee @ Orlando,8:00 PM,TBS,TBS,,,Tue Mar 19,0
3/19/2002,Tue,3,19,2002,2002,HOU ,SAC,Houston @ Sacramento,10:30 PM,TBS TSN,TBS,TSN,,Tue Mar 19,0
3/20/2002,Wed,3,20,2002,2002,LAL ,SAS,L.A. Lakers @ San Antonio,8:00 PM,TNT TSN,TNT,TSN,,Wed Mar 20,0
3/24/2002,Sun,3,24,2002,2002,NYK ,PHI,New York @ Philadelphia,12:00 PM,NBC,NBC,,,Sun Mar 24,0
3/24/2002,Sun,3,24,2002,2002,LAL ,SAC,L.A. Lakers @ Sacramento,6:30 PM,NBC,NBC,,,Sun Mar 24,0
3/26/2002,Tue,3,26,2002,2002,DAL ,MIL,Dallas @ Milwaukee,8:00 PM,TBS,TBS,,,Tue Mar 26,0
3/27/2002,Wed,3,27,2002,2002,MIA ,TOR,Miami @ Toronto,8:00 PM,TSN,TSN,,,Wed Mar 27,0
3/27/2002,Wed,3,27,2002,2002,LAL ,PHO,L.A. Lakers @ Phoenix,8:00 PM,TNT,TNT,,,Wed Mar 27,0
3/27/2002,Wed,3,27,2002,2002,SAS ,POR,San Antonio @ Portland,10:30 PM,TNT TSN,TNT,TSN,,Wed Mar 27,0
3/28/2002,Thu,3,28,2002,2002,SAC ,HOU,Sacramento @ Houston,9:00 PM,TNT,TNT,,,Thu Mar 28,0
3/31/2002,Sun,3,31,2002,2002,TOR ,PHI,Toronto @ Philadelphia,12:30 PM,NBC CTV,NBC,CTV,,Sun Mar 31,0
3/31/2002,Sun,3,31,2002,2002,NYK ,ORL,New York @ Orlando,3:00 PM,NBC,NBC,,,Sun Mar 31,0
3/31/2002,Sun,3,31,2002,2002,MIA ,IND,Miami @ Indiana,3:00 PM,NBC,NBC,,,Sun Mar 31,0
3/31/2002,Sun,3,31,2002,2002,SAS ,LAL,San Antonio @ L.A. Lakers,5:30 PM,NBC,NBC,,,Sun Mar 31,0
4/2/2002,Tue,4,2,2002,2002,NOP ,NYK,Charlotte @ New York,8:00 PM,TBS TSN,TBS,TSN,,Tue Apr 2,0
4/3/2002,Wed,4,3,2002,2002,PHO ,PHI,Phoenix @ Philadelphia,8:00 PM,TNT,TNT,,,Wed Apr 3,0
4/4/2002,Thu,4,4,2002,2002,SAS ,HOU,San Antonio @ Houston,9:00 PM,TNT,TNT,,,Thu Apr 4,0
4/6/2002,Sat,4,6,2002,2002,DAL ,SAS,Dallas @ San Antonio,5:30 PM,NBC,NBC,,,Sat Apr 6,0
4/7/2002,Sun,4,7,2002,2002,MIL ,PHI,Milwaukee @ Philadelphia,12:30 PM,NBC CTV,NBC,CTV,,Sun Apr 7,0
4/7/2002,Sun,4,7,2002,2002,LAL ,MIA,L.A. Lakers @ Miami,5:30 PM,NBC,NBC,,,Sun Apr 7,0
4/7/2002,Sun,4,7,2002,2002,NYK ,SAC,New York @ Sacramento,5:30 PM,NBC,NBC,,,Sun Apr 7,0
4/9/2002,Tue,4,9,2002,2002,PHI ,MIL,Philadelphia @ Milwaukee,8:00 PM,TBS,TBS,,,Tue Apr 9,0
4/9/2002,Tue,4,9,2002,2002,MIN ,SAC,Minnesota @ Sacramento,10:30 PM,TBS,TBS,,,Tue Apr 9,0
4/10/2002,Wed,4,10,2002,2002,TOR ,IND,Toronto @ Indiana,8:00 PM,TNT,TNT,,,Wed Apr 10,0
4/11/2002,Thu,4,11,2002,2002,HOU ,DAL,Houston @ Dallas,8:00 PM,TNT,TNT,,,Thu Apr 11,0
4/11/2002,Thu,4,11,2002,2002,MIN ,LAL,Minnesota @ L.A. Lakers,10:30 PM,TNT,TNT,,,Thu Apr 11,0
4/14/2002,Sun,4,14,2002,2002,PHI ,ORL,Philadelphia @ Orlando,12:30 PM,NBC CTV,NBC,CTV,,Sun Apr 14,0
4/14/2002,Sun,4,14,2002,2002,NYK ,MIA,New York @ Miami,3:00 PM,NBC,NBC,,,Sun Apr 14,0
4/14/2002,Sun,4,14,2002,2002,NOP ,MIL,Charlotte @ Milwaukee,3:00 PM,NBC,NBC,,,Sun Apr 14,0
4/14/2002,Sun,4,14,2002,2002,LAL ,POR,L.A. Lakers @ Portland,5:30 PM,NBC,NBC,,,Sun Apr 14,0
4/16/2002,Tue,4,16,2002,2002,TOR ,MIL,Toronto @ Milwaukee,8:00 PM,TBS,TBS,,,Tue Apr 16,0
4/17/2002,Wed,4,17,2002,2002,PHI ,IND,Philadelphia @ Indiana,8:00 PM,TNT,TNT,,,Wed Apr 17,0
4/17/2002,Wed,4,17,2002,2002,SAC ,LAL,Sacramento @ L.A. Lakers,10:30 PM,TNT TSN,TNT,TSN,,Wed Apr 17,0
10/24/2002,Thu,10,24,2002,2003,DAL ,ORL,Dallas @ Orlando Preseason,8:00 PM,TNT,TNT,,,Thu Oct 24,1
10/24/2002,Thu,10,24,2002,2003,MIL ,LAL,Milwaukee @ L.A. Lakers Preseason,10:30 PM,TNT,TNT,,,Thu Oct 24,1
10/25/2002,Fri,10,25,2002,2003,WAS ,BOS,Washington @ Boston Preseason,8:00 PM,ESPN,ESPN,,,Fri Oct 25,1
10/25/2002,Fri,10,25,2002,2003,SAC ,LAL,Sacramento @ L.A. Lakers Preseason,10:30 PM,ESPN,ESPN,,,Fri Oct 25,1
10/29/2002,Tue,10,29,2002,2003,PHI ,ORL,Philadelphia @ Orlando,7:30 PM,TNT,TNT,,,Tue Oct 29,0
10/29/2002,Tue,10,29,2002,2003,SAS ,LAL,San Antonio @ L.A. Lakers,10:30 PM,TNT,TNT,,,Tue Oct 29,0
10/30/2002,Wed,10,30,2002,2003,WAS ,TOR,Washington @ Toronto,7:00 PM,ESPN,ESPN,,,Wed Oct 30,0
10/30/2002,Wed,10,30,2002,2003,LAL ,POR,L.A. Lakers @ Portland,9:30 PM,ESPN,ESPN,,,Wed Oct 30,0
10/31/2002,Thu,10,31,2002,2003,BOS ,WAS,Boston @ Washington,7:30 PM,TNT,TNT,,,Thu Oct 31,0
10/31/2002,Thu,10,31,2002,2003,POR ,SAC,Portland @ Sacramento,10:00 PM,TNT,TNT,,,Thu Oct 31,0
11/1/2002,Fri,11,1,2002,2003,NYK ,PHI,New York @ Philadelphia,8:00 PM,ESPN,ESPN,,,Fri Nov 1,0
11/1/2002,Fri,11,1,2002,2003,OKC ,GSW,Seattle @ Golden State,10:30 PM,ESPN,ESPN,,,Fri Nov 1,0
11/6/2002,Wed,11,6,2002,2003,SAC ,NYK,Sacramento @ New York,7:00 PM,ESPN,ESPN,,,Wed Nov 6,0
11/6/2002,Wed,11,6,2002,2003,BRK ,MIL,New Jersey @ Milwaukee,9:30 PM,ESPN,ESPN,,,Wed Nov 6,0
11/7/2002,Thu,11,7,2002,2003,LAL ,BOS,L.A. Lakers @ Boston,7:30 PM,TNT,TNT,,,Thu Nov 7,0
11/7/2002,Thu,11,7,2002,2003,DET ,DEN,Detroit @ Denver,10:00 PM,TNT,TNT,,,Thu Nov 7,0
11/8/2002,Fri,11,8,2002,2003,LAL ,WAS,L.A. Lakers @ Washington,8:00 PM,ESPN,ESPN,,,Fri Nov 8,0
11/8/2002,Fri,11,8,2002,2003,MEM ,SAC,Memphis @ Sacramento,10:30 PM,ESPN,ESPN,,,Fri Nov 8,0
11/10/2002,Sun,11,10,2002,2003,NOP ,NYK,New Orleans @ New York,4:00 PM,Telemundo,Telemundo,,,Sun Nov 10,0
11/13/2002,Wed,11,13,2002,2003,SAS ,BRK,San Antonio @ New Jersey,7:00 PM,ESPN,ESPN,,,Wed Nov 13,0
11/13/2002,Wed,11,13,2002,2003,SAC ,GSW,Sacramento @ Golden State,9:30 PM,ESPN,ESPN,,,Wed Nov 13,0
11/14/2002,Thu,11,14,2002,2003,SAS ,PHI,San Antonio @ Philadelphia,7:30 PM,TNT,TNT,,,Thu Nov 14,0
11/14/2002,Thu,11,14,2002,2003,ORL ,LAC,Orlando @ L.A. Clippers,10:00 PM,TNT,TNT,,,Thu Nov 14,0
11/15/2002,Fri,11,15,2002,2003,DAL ,BOS,Dallas @ Boston,8:00 PM,ESPN,ESPN,,,Fri Nov 15,0
11/15/2002,Fri,11,15,2002,2003,HOU ,PHO,Houston @ Phoenix,10:30 PM,ESPN,ESPN,,,Fri Nov 15,0
11/17/2002,Sun,11,17,2002,2003,UTA ,TOR,Utah @ Toronto,3:30 PM,Telemundo,Telemundo,,,Sun Nov 17,0
11/20/2002,Wed,11,20,2002,2003,PHI ,MEM,Philadelphia @ Memphis,9:00 PM,ESPN,ESPN,,,Wed Nov 20,0
11/21/2002,Thu,11,21,2002,2003,HOU ,DAL,Houston @ Dallas,7:30 PM,TNT,TNT,,,Thu Nov 21,0
11/21/2002,Thu,11,21,2002,2003,POR ,OKC,Portland @ Seattle,10:00 PM,TNT,TNT,,,Thu Nov 21,0
11/22/2002,Fri,11,22,2002,2003,TOR ,PHI,Toronto @ Philadelphia,8:00 PM,ESPN,ESPN,,,Fri Nov 22,0
11/22/2002,Fri,11,22,2002,2003,LAC ,DEN,L.A. Clippers @ Denver,10:30 PM,ESPN,ESPN,,,Fri Nov 22,0
11/24/2002,Sun,11,24,2002,2003,HOU ,LAC,Houston @ L.A. Clippers,3:30 PM,Telemundo,Telemundo,,,Sun Nov 24,0
11/27/2002,Wed,11,27,2002,2003,LAL ,ORL,L.A. Lakers @ Orlando,7:00 PM,ESPN,ESPN,,,Wed Nov 27,0
11/28/2002,Thu,11,28,2002,2003,DAL ,IND,Dallas @ Indiana,7:30 PM,TNT,TNT,,,Thu Nov 28,0
11/28/2002,Thu,11,28,2002,2003,BRK ,LAC,New Jersey @ L.A. Clippers,10:00 PM,TNT,TNT,,,Thu Nov 28,0
11/29/2002,Fri,11,29,2002,2003,TOR ,BOS,Toronto @ Boston,8:00 PM,ESPN,ESPN,,,Fri Nov 29,0
11/29/2002,Fri,11,29,2002,2003,HOU ,OKC,Houston @ Seattle,10:30 PM,ESPN,ESPN,,,Fri Nov 29,0
12/1/2002,Sun,12,1,2002,2003,TOR ,MEM,Toronto @ Memphis,4:00 PM,Telemundo,Telemundo,,,Sun Dec 1,0
12/5/2002,Thu,12,5,2002,2003,MIL ,ATL,Milwaukee @ Atlanta,7:30 PM,TNT,TNT,,,Thu Dec 5,0
12/5/2002,Thu,12,5,2002,2003,MIN ,GSW,Minnesota @ Golden State,10:00 PM,TNT,TNT,,,Thu Dec 5,0
12/6/2002,Fri,12,6,2002,2003,NYK ,BOS,New York @ Boston,8:00 PM,ESPN,ESPN,,,Fri Dec 6,0
12/6/2002,Fri,12,6,2002,2003,DAL ,LAL,Dallas @ L.A. Lakers,10:30 PM,ESPN,ESPN,,,Fri Dec 6,0
12/8/2002,Sun,12,8,2002,2003,PHO ,MEM,Phoenix @ Memphis,4:00 PM,Telemundo,Telemundo,,,Sun Dec 8,0
12/11/2002,Wed,12,11,2002,2003,POR ,BRK,Portland @ New Jersey,7:00 PM,ESPN,ESPN,,,Wed Dec 11,0
12/11/2002,Wed,12,11,2002,2003,DAL ,SAS,Dallas @ San Antonio,9:30 PM,ESPN,ESPN,,,Wed Dec 11,0
12/12/2002,Thu,12,12,2002,2003,DET ,CHI,Detroit @ Chicago,7:30 PM,TNT,TNT,,,Thu Dec 12,0
12/12/2002,Thu,12,12,2002,2003,NOP ,UTA,New Orleans @ Utah,10:00 PM,TNT,TNT,,,Thu Dec 12,0
12/13/2002,Fri,12,13,2002,2003,WAS ,BRK,Washington @ New Jersey,8:00 PM,ESPN,ESPN,,,Fri Dec 13,0
12/13/2002,Fri,12,13,2002,2003,NOP ,LAL,New Orleans @ L.A. Lakers,10:30 PM,ESPN,ESPN,,,Fri Dec 13,0
12/15/2002,Sun,12,15,2002,2003,WAS ,TOR,Washington @ Toronto,1:00 PM,Telemundo,Telemundo,,,Sun Dec 15,0
12/18/2002,Wed,12,18,2002,2003,IND ,HOU,Indiana @ Houston,9:00 PM,ESPN,ESPN,,,Wed Dec 18,0
12/19/2002,Thu,12,19,2002,2003,LAL ,BRK,L.A. Lakers @ New Jersey,7:30 PM,TNT,TNT,,,Thu Dec 19,0
12/19/2002,Thu,12,19,2002,2003,SAS ,SAC,San Antonio @ Sacramento,10:00 PM,TNT,TNT,,,Thu Dec 19,0
12/20/2002,Fri,12,20,2002,2003,LAL ,PHI,L.A. Lakers @ Philadelphia,8:00 PM,ESPN,ESPN,,,Fri Dec 20,0
12/20/2002,Fri,12,20,2002,2003,PHO ,LAC,Phoenix @ L.A. Clippers,10:30 PM,ESPN,ESPN,,,Fri Dec 20,0
12/22/2002,Sun,12,22,2002,2003,LAL ,TOR,L.A. Lakers @ Toronto,5:00 PM,Telemundo,Telemundo,,,Sun Dec 22,0
12/25/2002,Wed,12,25,2002,2003,DET ,ORL,Detroit @ Orlando,2:00 PM,ESPN,ESPN,,,Wed Dec 25,0
12/25/2002,Wed,12,25,2002,2003,BOS ,BRK,Boston @ New Jersey,6:00 PM,ABC,ABC,,,Wed Dec 25,0
12/25/2002,Wed,12,25,2002,2003,SAC ,LAL,Sacramento @ L.A. Lakers,8:30 PM,ABC,ABC,,,Wed Dec 25,0
12/26/2002,Thu,12,26,2002,2003,DAL ,NOP,Dallas @ New Orleans,7:30 PM,TNT,TNT,,,Thu Dec 26,0
12/26/2002,Thu,12,26,2002,2003,TOR ,OKC,Toronto @ Seattle,10:00 PM,TNT,TNT,,,Thu Dec 26,0
12/27/2002,Fri,12,27,2002,2003,BOS ,MIA,Boston @ Miami,8:00 PM,ESPN2,ESPN2,,,Fri Dec 27,0
12/27/2002,Fri,12,27,2002,2003,UTA ,POR,Utah @ Portland,10:30 PM,ESPN2,ESPN2,,,Fri Dec 27,0
12/31/2002,Tue,12,31,2002,2003,SAS ,WAS,San Antonio @ Washington,8:00 PM,ESPN2,ESPN2,,,Tue Dec 31,0
1/1/2003,Wed,1,1,2003,2003,TOR ,NYK,Toronto @ New York,7:00 PM,ESPN,ESPN,,,Wed Jan 1,0
1/2/2003,Thu,1,2,2003,2003,WAS ,CHI,Washington @ Chicago,7:30 PM,TNT,TNT,,,Thu Jan 2,0
1/2/2003,Thu,1,2,2003,2003,PHI ,PHO,Philadelphia @ Phoenix,10:00 PM,TNT,TNT,,,Thu Jan 2,0
1/3/2003,Fri,1,3,2003,2003,IND ,NYK,Indiana @ New York,8:00 PM,ESPN,ESPN,,,Fri Jan 3,0
1/3/2003,Fri,1,3,2003,2003,DEN ,OKC,Denver @ Seattle,10:30 PM,ESPN,ESPN,,,Fri Jan 3,0
1/4/2003,Sat,1,4,2003,2003,PHI ,DAL,Philadelphia @ Dallas,1:30 PM,ABC,ABC,,,Sat Jan 4,0
1/5/2003,Sun,1,5,2003,2003,SAS ,LAC,San Antonio @ L.A. Clippers,3:30 PM,Telemundo,Telemundo,,,Sun Jan 5,0
1/8/2003,Wed,1,8,2003,2003,BOS ,NOP,Boston @ New Orleans,9:00 PM,ESPN,ESPN,,,Wed Jan 8,0
