period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:58.6,Turnover: Traveling,Royce O'Neale,Raptors,INC,O'Neale (BKN) lifts his pivot foot prior to releasing his dribble.,02:18.5       To       01:55.2,gameId=0022300054,Raptors(103) @ Nets(115),"November 28, 2023",2023-12-01T13:26:47Z
Q4,01:50.5,Foul: Offensive,Pascal Siakam,Mikal Bridges,CNC,Siakam (TOR) establishes himself in Bridges' (BKN) path and marginal contact occurs as the defensive switch occurs.,01:55.2       To       01:40.4,gameId=0022300054,Raptors(103) @ Nets(115),"November 28, 2023",2023-12-01T13:26:47Z
Q4,01:40,Foul: Loose Ball,Dorian Finney-Smith,Scottie Barnes,CNC,Finney-Smith (BKN) cleanly deflects the ball away from Barnes (TOR) during rebounding.,01:40.4       To       01:23.3,gameId=0022300054,Raptors(103) @ Nets(115),"November 28, 2023",2023-12-01T13:26:47Z
Q4,01:27.3,Foul: Personal,Pascal Siakam,Mikal Bridges,CNC,Siakam (TOR) brings his forearm towards Bridges' (BKN) front and marginal contact occurs on the perimeter.,01:40.4       To       01:23.3,gameId=0022300054,Raptors(103) @ Nets(115),"November 28, 2023",2023-12-01T13:26:47Z
Q4,01:24.6,Foul: Shooting,Pascal Siakam,Mikal Bridges,CNC,Siakam (TOR) moves alongside Bridges' (BKN) path and marginal body contact occurs during the driving shot attempt.,01:40.4       To       01:23.3,gameId=0022300054,Raptors(103) @ Nets(115),"November 28, 2023",2023-12-01T13:26:47Z
Q4,01:22,Foul: Personal,Dorian Finney-Smith,Dennis Schroder,CNC,Finney-Smith (BKN) and Schroder (TOR) come together at the same spot and Schroder spins off of the marginal contact.,01:23.3       To       01:17.5,gameId=0022300054,Raptors(103) @ Nets(115),"November 28, 2023",2023-12-01T13:26:47Z
Q4,01:18,Foul: Shooting,Spencer Dinwiddie,Gary Trent Jr.,CNC,Dinwiddie (BKN) contests Trent Jr.'s (TOR) shot and marginal contact occurs after the release.,01:23.3       To       01:17.5,gameId=0022300054,Raptors(103) @ Nets(115),"November 28, 2023",2023-12-01T13:26:47Z
Q4,01:14,Foul: Personal,Scottie Barnes,Spencer Dinwiddie,CNC,"Barnes (TOR) avoids making contact with Dinwiddie's (BKN) arm, and Dinwiddie loses control of his dribble on his own.",01:17.5       To       01:08.4,gameId=0022300054,Raptors(103) @ Nets(115),"November 28, 2023",2023-12-01T13:26:47Z
Q4,01:09.1,Foul: Loose Ball,Scottie Barnes,Mikal Bridges,CNC,Barnes (TOR) and Bridges (BKN) come together at the same spot and marginal lower body contact occurs as Johnson (BKN) elevates for the shot.,01:17.5       To       01:08.4,gameId=0022300054,Raptors(103) @ Nets(115),"November 28, 2023",2023-12-01T13:26:47Z
Q4,00:59.6,Foul: Offensive,Mikal Bridges,Scottie Barnes,CNC,"As Bridges (BKN) removes his left hand from the ball, his forearm makes some contact with Barnes' (TOR) head/neck area.  Contact to an opponent's head/face can be deemed marginal when the result of a natural basketball move, provided the contact is not disproportionate or uncontrolled.",01:01.4       To       00:47.5,gameId=0022300054,Raptors(103) @ Nets(115),"November 28, 2023",2023-12-01T13:26:47Z
Q4,00:44.8,Foul: Shooting,Mikal Bridges,Scottie Barnes,CNC,"Bridges (BKN) brings his hands towards Barnes' (TOR) front, and he absorbs the marginal contact during the shot attempt.",00:47.5       To       00:43.8,gameId=0022300054,Raptors(103) @ Nets(115),"November 28, 2023",2023-12-01T13:26:47Z
Q4,00:38.5,Foul: Personal,Scottie Barnes,Cameron Johnson,CC,Barnes (TOR) commits a take foul on Johnson (BKN).,00:43.8       To       00:38.5,gameId=0022300054,Raptors(103) @ Nets(115),"November 28, 2023",2023-12-01T13:26:47Z
Q4,00:29.3,Foul: Loose Ball,Dorian Finney-Smith,Scottie Barnes,CNC,"Finney-Smith (BKN) raises his hand to pursue the rebound, and marginal contact occurs with Barnes (TOR) during rebounding.",00:38.5       To       00:29.3,gameId=0022300054,Raptors(103) @ Nets(115),"November 28, 2023",2023-12-01T13:26:47Z
Q4,00:23.3,Foul: Shooting,OG Anunoby,Dorian Finney-Smith,CNC,Anunoby (TOR) legally contests Finney-Smith's (BKN) jump shot attempt.,00:29.3       To       00:21.7,gameId=0022300054,Raptors(103) @ Nets(115),"November 28, 2023",2023-12-01T13:26:47Z
Q4,00:06.5,Foul: Personal,Scottie Barnes,Spencer Dinwiddie,CC,Barnes (TOR) commits a take foul on Dinwiddie (BKN).,00:08.4       To       00:06.5,gameId=0022300054,Raptors(103) @ Nets(115),"November 28, 2023",2023-12-01T13:26:47Z
Q4,00:00.7,Foul: Shooting,Mikal Bridges,OG Anunoby,CNC,Bridges (BKN) legally contests Anunoby's (TOR) jump shot attempt.,00:06.5       To       00:00.0,gameId=0022300054,Raptors(103) @ Nets(115),"November 28, 2023",2023-12-01T13:26:47Z
