period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:57.1,Foul: Offensive,Lester Quinones,Taylor Hendricks,CC,"Quinones (GSW) releases his pass and does not stop and establish legal screening position, rather, Quinones seeks out Hendricks (UTA) and delivers contact that displaces the defender as he moves to defend the ball.",02:08.0       To       01:57.1,gameId=0022301198,Jazz(116) @ Warriors(123),"April 14, 2024",2024-04-17T13:34:08Z
Q4,01:43.0,Turnover: 3 Second Violation,Omer Yurtseven,Warriors,INC,Yurtseven (UTA) is in the paint for longer than three seconds.,01:57.1       To       01:39.6,gameId=0022301198,Jazz(116) @ Warriors(123),"April 14, 2024",2024-04-17T13:34:08Z
Q4,01:39.6,Turnover: Traveling,Brice Sensabaugh,Warriors,CC,Sensabaugh (UTA) leaves both his feet and releases the ball in the air to start his dribble. Possession is properly awarded to Golden State.,01:57.1       To       01:39.6,gameId=0022301198,Jazz(116) @ Warriors(123),"April 14, 2024",2024-04-17T13:34:08Z
Q4,01:29.0,Foul: Shooting,Taylor Hendricks,Jerome Robinson,CC,Hendricks (UTA) moves laterally into Robinson's (GSW) path and the body contact after Robinson's gather alters his driving shot attempt in the paint.,01:39.6       To       01:29.0,gameId=0022301198,Jazz(116) @ Warriors(123),"April 14, 2024",2024-04-17T13:34:08Z
Q4,01:22.3,Foul: Offensive,Omer Yurtseven,Jerome Robinson,CNC,Yurtseven (UTA) firms up over his left leg and marginal contact occurs with Robinson (GSW) as he maneuvers under the pick.,01:29.0       To       01:14.7,gameId=0022301198,Jazz(116) @ Warriors(123),"April 14, 2024",2024-04-17T13:34:08Z
Q4,01:14.9,Foul: Loose Ball,Omer Yurtseven,Usman Garuba,CNC,Yurtseven (UTA) raises his right arm towards the ball and marginal contact occurs with Garuba's (GSW) arm as he secures the rebound.,01:29.0       To       01:14.7,gameId=0022301198,Jazz(116) @ Warriors(123),"April 14, 2024",2024-04-17T13:34:08Z
Q4,01:04.4,Foul: Shooting,Omer Yurtseven,Usman Garuba,CNC,Yurtseven (UTA) moves alongside Garuba's (GSW) path and marginal contact occurs during Garuba's layup attempt in the paint.,01:14.7       To       00:58.9,gameId=0022301198,Jazz(116) @ Warriors(123),"April 14, 2024",2024-04-17T13:34:08Z
Q4,01:03.8,Foul: Loose Ball,Pat Spencer,Omer Yurtseven,CNC,Spencer (GSW) and Yurtseven (UTA) come together in the air while pursuing the loose ball and the contact is marginal.,01:14.7       To       00:58.9,gameId=0022301198,Jazz(116) @ Warriors(123),"April 14, 2024",2024-04-17T13:34:08Z
Q4,01:00.8,Foul: Shooting,Omer Yurtseven,Pat Spencer,CNC,Yurtseven (UTA) rests his hand on Spencer's (GSW) side and he removes the marginal contact as Spencer elevates for the shot attempt in the paint.,01:14.7       To       00:58.9,gameId=0022301198,Jazz(116) @ Warriors(123),"April 14, 2024",2024-04-17T13:34:08Z
Q4,00:48.4,Foul: Shooting,Usman Garuba,Omer Yurtseven,CNC,Garuba (GSW) cleanly blocks Yurtseven's (UTA) shot attempt in front of the basket.,00:58.9       To       00:47.3,gameId=0022301198,Jazz(116) @ Warriors(123),"April 14, 2024",2024-04-17T13:34:08Z
Q4,00:35.4,Foul: Personal,Taylor Hendricks,Lester Quinones,CNC,"Hendricks (UTA) brings his left hand towards the ball and brushes it, which dislodges it away from Quinones (GSW) during his dribble. After the contact with the ball, Hendricks' arm continues sweeping to his right and incidental contact occurs with Quinones' arm.",00:47.3       To       00:22.7,gameId=0022301198,Jazz(116) @ Warriors(123),"April 14, 2024",2024-04-17T13:34:08Z
Q4,00:33.5,Turnover: Backcourt Turnover,Lester Quinones,Jazz,CNC,Hendricks (UTA) dislodges the ball into the backcourt and Quinones (GSW) goes into the backcourt and legally recovers the loose ball and reestablishes it in the frontcourt.,00:47.3       To       00:22.7,gameId=0022301198,Jazz(116) @ Warriors(123),"April 14, 2024",2024-04-17T13:34:08Z
Q4,00:21.9,Foul: Personal,Usman Garuba,Omer Yurtseven,CNC,"Garuba (GSW) brings his left hand toward the ball and marginal brush contact occurs with the side of Yurtseven's (UTA) head/face. Contact to an opponent's head/face can be deemed marginal when the result of a natural basketball move, provided the contact is not disproportionate or uncontrolled.",00:22.7       To       00:14.3,gameId=0022301198,Jazz(116) @ Warriors(123),"April 14, 2024",2024-04-17T13:34:08Z
