period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:59.2,Foul: Offensive,Aaron Gordon,P.J. Washington,CNC,"Gordon (DEN) establishes himself in Washington's (DAL) path and his legs remain within the frame of his body as contact occurs, which he does not deliver.",02:06.9       To       01:51.0,gameId=0022300978,Nuggets(105) @ Mavericks(107),"March 17, 2024",2024-03-23T12:17:59Z
Q4,01:57.7,Foul: Personal,P.J. Washington,Nikola Jokic,CNC,Washington (DAL) and Jokic (DEN) engage and disengage with one another and marginal contact occurs as the pick is set.,02:06.9       To       01:51.0,gameId=0022300978,Nuggets(105) @ Mavericks(107),"March 17, 2024",2024-03-23T12:17:59Z
Q4,01:35.8,Violation: Kicked Ball,Michael Porter Jr.,Mavericks,CC,Porter Jr. (DEN) extends his leg out and makes intentional foot to ball contact.,01:51.0       To       01:26.3,gameId=0022300978,Nuggets(105) @ Mavericks(107),"March 17, 2024",2024-03-23T12:17:59Z
Q4,01:26.3,Foul: Shooting,Jamal Murray,Luka Doncic,CC,Murray (DEN) is drawn in the air by the pump fake and makes contact with Donic (DAL) which affects his shot attempt near the rim.,01:51.0       To       01:26.3,gameId=0022300978,Nuggets(105) @ Mavericks(107),"March 17, 2024",2024-03-23T12:17:59Z
Q4,01:17.3,Foul: Offensive,Kentavious Caldwell-Pope,P.J. Washington,CNC,Caldwell-Pope (DEN) establishes himself in Washington's (DAL) path and does not deliver illegal contact.,01:26.3       To       01:06.1,gameId=0022300978,Nuggets(105) @ Mavericks(107),"March 17, 2024",2024-03-23T12:17:59Z
Q4,01:07.3,Foul: Shooting,Luka Doncic,Nikola Jokic,CNC,Doncic (DAL) establishes his position and absorbs the contact initiated by Jokic (DEN) during his shot attempt in the post.,01:26.3       To       01:06.1,gameId=0022300978,Nuggets(105) @ Mavericks(107),"March 17, 2024",2024-03-23T12:17:59Z
Q4,00:42.5,Foul: Loose Ball,Michael Porter Jr.,Maxi Kleber,CNC,Porter Jr. (DEN) and Kleber's (DAL) engage in incidental contact with one another while in pursuit of the loose ball.,01:06.1       To       00:42.5,gameId=0022300978,Nuggets(105) @ Mavericks(107),"March 17, 2024",2024-03-23T12:17:59Z
Q4,00:39.6,Foul: Personal,P.J. Washington,Jamal Murray,CNC,Washington (DAL) is moving alongside Murray's (DEN) path and marginal body contact occurs during Murray's drive.,00:42.5       To       00:26.8,gameId=0022300978,Nuggets(105) @ Mavericks(107),"March 17, 2024",2024-03-23T12:17:59Z
Q4,00:26.8,Foul: Offensive,Tim Hardaway Jr.,Aaron Gordon,CNC,Hardaway Jr. (DAL) maintains his arms within the frame of his body and does not deliver illegal contact to Gordon (DEN) during the screen.,00:26.8       To       00:24.2,gameId=0022300978,Nuggets(105) @ Mavericks(107),"March 17, 2024",2024-03-23T12:17:59Z
Q4,00:00.0,Instant Replay: Support Ruling,Kyrie Irving,Nuggets,CC,"After communicating with the Replay Center, it is confirmed that Irving (DAL) releases his shot attempt before the expiration of the game clock and the basket is successful.",00:03.6       To       00:00.0,gameId=0022300978,Nuggets(105) @ Mavericks(107),"March 17, 2024",2024-03-23T12:17:59Z
