period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:45.1,Foul: Shooting,Jabari Walker,Jalen Green,CNC,"Walker (POR) extends his arm toward the ball and marginal contact occurs with Green's (HOU) head after the release of his shot attempt. Contact to an opponent's head/face can be deemed marginal when the result of a natural basketball move, provided the contact is not disproportionate or uncontrolled.",01:51.6       To       01:44.4,gameId=0022300623,Trail Blazers(137) @ Rockets(131),"January 24, 2024",2024-01-29T04:51:12Z
Q4,01:28.0,Foul: Offensive,Anfernee Simons,Aaron Holiday,CNC,Simons (POR) brings his arm off-arm toward Holiday's (HOU) space and marginal contact occurs during Simons' drive.,01:44.4       To       01:25.7,gameId=0022300623,Trail Blazers(137) @ Rockets(131),"January 24, 2024",2024-01-29T04:51:12Z
Q4,01:25.7,Foul: Personal,Jeff Green,Deandre Ayton,CNC,Green (HOU) makes clean contact with the ball and dislodges it away from Ayton (POR) prior to incidental arm contact occurring.,01:44.4       To       01:25.7,gameId=0022300623,Trail Blazers(137) @ Rockets(131),"January 24, 2024",2024-01-29T04:51:12Z
Q4,00:54.3,Foul: Shooting,Deandre Ayton,Alperen Sengun,CNC,Ayton (POR) moves alongside Sengun's (HOU) path and marginal body contact occurs during the post shot attempt.,01:12.9       To       00:53.7,gameId=0022300623,Trail Blazers(137) @ Rockets(131),"January 24, 2024",2024-01-29T04:51:12Z
Q4,00:39.4,Foul: Shooting,Aaron Holiday,Anfernee Simons,CNC,Holiday (HOU) contests the jump shot attempt and avoids making contact with Simons' (POR) arm.,00:53.7       To       00:37.6,gameId=0022300623,Trail Blazers(137) @ Rockets(131),"January 24, 2024",2024-01-29T04:51:12Z
Q4,00:32.0,Foul: Personal,Jerami Grant,Fred VanVleet,CNC,Grant (POR) brings his arm toward VanVleet's (HOU) path and marginal contact occurs as VanVleet crosses midcourt.,00:37.6       To       00:13.7,gameId=0022300623,Trail Blazers(137) @ Rockets(131),"January 24, 2024",2024-01-29T04:51:12Z
Q4,00:10.0,Foul: Personal,Fred VanVleet,Anfernee Simons,CNC,"VanVleet (HOU) makes contact with the ball, prior to the incidental follow through contact that occurs with Simons' (POR) wrist.",00:13.7       To       00:04.6,gameId=0022300623,Trail Blazers(137) @ Rockets(131),"January 24, 2024",2024-01-29T04:51:12Z
Q4,00:04.7,Foul: Shooting,Aaron Holiday,Malcolm Brogdon,CNC,Holiday (HOU) legally contests Brogdon's (POR) jump shot attempt.,00:13.7       To       00:04.6,gameId=0022300623,Trail Blazers(137) @ Rockets(131),"January 24, 2024",2024-01-29T04:51:12Z
Q4,00:02.2,Foul: Personal,Anfernee Simons,Fred VanVleet,CC,Simons (POR) commits a take foul on VanVleet (HOU).,00:04.6       To       00:01.6,gameId=0022300623,Trail Blazers(137) @ Rockets(131),"January 24, 2024",2024-01-29T04:51:12Z
Q4,00:01.6,Foul: Personal,Anfernee Simons,Aaron Holiday,CC,Simons (POR) commits a take foul on Holiday (HOU).,00:04.6       To       00:01.6,gameId=0022300623,Trail Blazers(137) @ Rockets(131),"January 24, 2024",2024-01-29T04:51:12Z
Q4,00:01.6,Turnover: 5 Second Violation,Malcolm Brogdon,Rockets,CNC,Brogdon (POR) inbounds the ball within 5 seconds.,00:01.6       To       00:00.0,gameId=0022300623,Trail Blazers(137) @ Rockets(131),"January 24, 2024",2024-01-29T04:51:12Z
Q4,00:01.5,Foul: Personal,Fred VanVleet,Jerami Grant,CNC,VanVleet (HOU) and Grant (POR) engage and immediately disengage as they pursue the inbound pass. The contact that occurs is marginal.,00:01.6       To       00:00.0,gameId=0022300623,Trail Blazers(137) @ Rockets(131),"January 24, 2024",2024-01-29T04:51:12Z
Q4,00:00.4,Foul: Shooting,Fred VanVleet,Jerami Grant,CNC,VanVleet (HOU) legally contests Grant's (POR) jump shot attempt.,00:01.6       To       00:00.0,gameId=0022300623,Trail Blazers(137) @ Rockets(131),"January 24, 2024",2024-01-29T04:51:12Z
