period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:53.0,Foul: Personal,Karl-Anthony Towns,JaKarr Sampson,CNC,Towns (MIN) and Sampson (IND) engage and disengage with one another off-ball.,28.5714283% Complete    02:00.6       To       01:45.8,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,01:50.2,Foul: Offensive,JaKarr Sampson,Ricky Rubio,CNC,Sampson (IND) establishes himself in a screening position in Rubio's (MIN) path and absorbs the contact.,28.5714283% Complete    02:00.6       To       01:45.8,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,01:39.0,Foul: Personal,Aaron Holiday,D'Angelo Russell,CNC,A. Holiday (IND) and Russell (MIN) engage and disengage with one another off-ball.,30.6122456% Complete    01:45.8       To       01:30.5,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,01:31.8,Foul: Shooting,JaKarr Sampson,D'Angelo Russell,CNC,Sampson (IND) cleanly blocks Russell's (MIN) jump shot attempt before incidental arm contact occurs.,30.6122456% Complete    01:45.8       To       01:30.5,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,01:28.0,Turnover: Traveling,JaKarr Sampson,Timberwolves,CNC,Sampson (IND) gathers the pass on his left foot and takes two steps before attempting the layup.,8.163265% Complete    01:30.5       To       01:25.6,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,01:18.6,Foul: Offensive,Karl-Anthony Towns,T.J. McConnell,CNC,Towns (MIN) establishes himself in a screening position in McConnell's (IND) view and gives McConnell room to avoid the contact.,16.32653% Complete    01:25.6       To       01:17.5,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,01:17.6,Foul: Personal,T.J. McConnell,Ricky Rubio,CC,McConnell (IND) turns into Rubio (MIN) and delivers contact that affects Rubio's SQBR.,16.32653% Complete    01:25.6       To       01:17.5,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,01:02.0,Foul: Personal,Ricky Rubio,T.J. McConnell,CNC,Rubio (MIN) and McConnell (IND) come together at the same spot and marginal contact occurs before they separate.,42.8571434% Complete    01:17.5       To       00:56.1,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,00:59.3,Foul: Personal,Jaden McDaniels,T.J. McConnell,CNC,McDaniels (MIN) rests his hands on McConnell's (IND) side during the drive and marginal contact occurs.,42.8571434% Complete    01:17.5       To       00:56.1,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,00:50.2,Foul: Shooting,Justin Holiday,D'Angelo Russell,CC,Holiday (IND) makes contact to Russell's (MIN) side and affects his driving shot attempt.,10.2040815% Complete    00:56.1       To       00:50.2,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,00:41.9,Foul: Personal,Ricky Rubio,T.J. McConnell,CNC,Rubio (MIN) has his arm across McConnell's (IND) back and marginal contact occurs as he attempts to dislodge the ball during the hand-off.,51.02041% Complete    00:50.2       To       00:24.8,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,00:22.6,Foul: Loose Ball,JaKarr Sampson,Jaden McDaniels,CNC,Sampson (IND) has his hand on McDaniels' (MIN) back and marginal contact occurs as the rebound occurs.,4.08163261% Complete    00:24.8       To       00:22.5,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,00:20.7,Foul: Loose Ball,Karl-Anthony Towns,JaKarr Sampson,CNC,Towns (MIN) and Sampson (IND) make incidental contact with one another during rebounding.,6.122449% Complete    00:22.5       To       00:19.1,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,00:19.1,Foul: Offensive,Karl-Anthony Towns,JaKarr Sampson,CNC,Towns (MIN) and Sampson (IND) engage and disengage with one another during the inbound.,6.122449% Complete    00:19.1       To       00:15.5,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,00:17.9,Foul: Offensive,D'Angelo Russell,Aaron Holiday,CNC,Russell (MIN) establishes himself in a screening position in A. Holiday's (IND) path and absorbs the contact.,6.122449% Complete    00:19.1       To       00:15.5,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,00:15.6,Foul: Shooting,T.J. McConnell,Ricky Rubio,IC,"McConnell (IND) makes clean contact with the ball and incidental ""high-five"" contact with Rubio (MIN) during the jump shot attempt.",6.122449% Complete    00:19.1       To       00:15.5,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,00:14.5,Foul: Personal,Ricky Rubio,Caris LeVert,CC,Rubio (MIN) commits a take foul on LeVert (IND).,4.08163261% Complete    00:15.5       To       00:13.0,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,00:13.0,Foul: Personal,Jaden McDaniels,Caris LeVert,CC,McDaniels (MIN) commits a take foul on LeVert (IND).,4.08163261% Complete    00:15.5       To       00:13.0,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,00:13.0,Foul: Offensive,D'Angelo Russell,Aaron Holiday,CNC,Russell (MIN) and A. Holiday (IND) engage and disengage with one another during the inbound.,6.122449% Complete    00:13.0       To       00:09.3,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,00:09.4,Foul: Away from Play,Jaden McDaniels,Caris LeVert,CNC,McDaniels (MIN) engages and disengage with LeVert (IND) during the inbound.,2.04081631% Complete    00:09.3       To       00:08.3,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,00:08.4,Foul: Personal,Anthony Edwards,Aaron Holiday,CC,Edwards (MIN) commits a take foul on Holiday (IND).,2.04081631% Complete    00:09.3       To       00:08.3,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,00:08.4,Foul: Away from Play,JaKarr Sampson,Ricky Rubio,CNC,Sampson (IND) and Rubio (MIN) come together at the same spot during the inbound and marginal body contact occurs before they separate.,14.2857141% Complete    00:08.3       To       00:00.8,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
Q4,00:04.3,Foul: Offensive,Karl-Anthony Towns,Caris LeVert,CNC,Towns (MIN) and LeVert (IND) come together at the same spot in transition and marginal body contact occurs.,14.2857141% Complete    00:08.3       To       00:00.8,gameId=0022000776,Timberwolves(137) @ Pacers(141),"April 07, 2021",2021-04-08T21:12:46Z
